id,title,abstract,publication_date,cpc_codes
US-2008132334-A1,Game system and storage medium storing game program,"A movement vector of an object which appears in a virtual game world is determined in accordance with an operation of a direction instruction section which is provided in a housing. The movement vector is corrected in accordance with a change in an orientation of the housing from a reference orientation or acceleration generated in the housing. Then, movement of the object in the virtual game world is controlled based on the corrected movement vector.",20080605,A63F13/10; A63F2300/1087; A63F2300/6045; A63F2300/8017; A63F13/24; A63F2300/105; A63F13/211; A63F13/213; A63F2300/8017; A63F13/428; G06F3/0346; A63F2300/8011; G06F3/0346; A63F2300/1087; A63F2300/105; A63F2300/8011; A63F2300/6045; A63F13/45
US-2009157092-A1,Ribbed force sensor,"In one embodiment, a force sensor apparatus is provided including a tube portion having a plurality of radial ribs and a strain gauge positioned over each of the plurality of radial ribs, a proximal end of the tube portion that operably couples to a shaft of a surgical instrument that operably couples to a manipulator arm of a robotic surgical system, and a distal end of the tube portion that proximally couples to a wrist joint coupled to an end effector.",20090618,A61B2017/00477; A61B34/71; A61B34/37; A61B2034/305; A61B2017/00477; A61B34/30; A61B90/06; A61B90/06; A61B2090/064; A61B2090/064; A61B2034/305; A61B34/37; G01L1/246; A61B34/30; A61B34/71
US-2007142725-A1,Biopsy site marker deployment device,"A biopsy marker deployment device is provided herein. According to one exemplary embodiment, the deployment device includes a deployment assembly and an actuator configured to selectively actuate the deployment assembly. The deployment assembly is configured to selectively deposit a marker in a biopsy site through at least one aperture and to substantially reduce space between the aperture and the deployment assembly.",20070621,A61B2090/3987; A61B90/39; A61B90/39; A61B2090/3987
US-4854808-A,Multi-articulated industrial robot with several degrees of freedom of movement,"An industrial robot comprising a column housing a first group of coaxial hollow shafts rotatably coupled to a first articulated joint positioned at about 60° to the first group of hollow shafts. A second group of coaxial hollow shafts receives the rotating movement from the first articulated joint and transmits it to a second articulated joint, also arranged in slanted relationship at 60°. A third group of coaxial hollow shafts receives the rotating movement from the second articulated joint and transmits it to a third articulated joint which in turn is connected to an end bush supporting implements or operative tools. 
     The invention is of particular advantage thanks to its high mobility and to the particular orientation in the space allowed to the several articulated joints.",19890808,Y10T74/20207; B25J19/0029; Y10T74/19828; Y10T74/19665; B25J9/04; Y10T74/19828; Y10T74/19633; Y10T74/19665; Y10T74/1906; Y10T74/1906; Y10T74/19633; B25J17/0291; B25J18/00; Y10T74/20207; B25J19/0029; B25J18/00; B25J9/04; B25J17/0291
US-2014039520-A1,Method and apparatus for computer aided surgery,"A number of improvements are provided relating to computer aided surgery. The improvement relates to both the methods used during computer aided surgery and the devices used during such procedures. Some of the improvement relate to controlling the selection of which data to display during a procedure and/or how the data is displayed to aid the surgeon. Other improvements relate to the structure of the tools used during a procedure and how the tools can be controlled automatically to improve the efficiency of the procedure. Still other improvements relate to methods of providing feedback during a procedure to improve either the efficiency or quality, or both, for a procedure.",20140206,A61B34/10; G16H40/63; G16H20/40; A61B90/11; A61B2034/102; A61B2034/2068; A61B2034/101; A61B2090/367; A61B2090/0812; A61B2090/395; A61B2034/256; A61B2034/2068; A61B2034/102; A61B2017/00212; A61B2034/2055; A61B34/25; A61B2090/065; A61B34/20; A61F2002/4632; A61B17/1703; A61B17/1626; A61B2034/101; A61B2034/2055; A61B34/30; A61B90/36; A61B17/154; A61B2034/2072; A61B17/15; A61B17/1626; A61B2090/372; A61B17/142; A61F2002/4633; A61B2090/372; A61B2090/061; A61B2017/00221; A61B2017/00725; A61B17/142; A61B17/1764; A61B2017/00026; A61B34/20; A61B90/90; A61B2034/108; A61B2090/065; A61B90/11; A61B17/1675; A61B2034/254; A61B2090/3937; A61B2034/107; A61B34/30; A61B90/36; A61B2017/00026; A61B2017/00725; A61B17/1675; A61B2034/258; A61B2034/258; A61B34/10; A61B90/90; A61B2090/0812; A61B2090/365; A61B2034/105; A61B2090/365; A61B2017/00199; A61B2034/256; A61B2017/320052; A61B34/25; A61B2034/105; A61B2034/108; A61B17/15; A61B2034/104; A61B2034/104; A61B2034/107; A61B2017/00212; A61B2034/254; A61B2090/061; A61B19/50; A61B19/201
US-5662587-A,Robotic endoscopy,"A robot for performing endoscopic procedures in flexible and curved human or animal lumens. A plurality of segments are attached to each other. Traction segments embrace the lumen walls. Other segments include actuators that cause the endoscope to locally deform its shape via bending, extending, or some combination of bending and extension. A method is provided to sequence the action of the segments to cause inchworm-like or snake-like locomotion, or a combination of them through a curved and flexible lumen. The method of movement can be adapted to the lumen characteristics, or to obviate a component failure. A compressed gas line attached to the back segment provides compressed gas for insufflation of the lumen, and can optionally be used to drive the actuators that control the operation of the endoscope segments. The lead segment may include television cameras, ultrasound transducers, biopsy arms, drug delivery systems, or other sensors, diagnostic aids, therapeutic devices, and surgical tools. Medical instruments and sensors can also be placed in the rear or middle segments.",19970902,A61B1/005; A61B1/005; A61B1/00082; A61B1/00156; A61B5/4839; A61B1/0051; A61B2034/303; A61B34/30; A61B34/30; B25J18/06; A61B2034/742; A61B1/00082; A61M25/0116; A61B1/041; A61B5/07; A61B1/00156; A61B17/00234; A61B1/041; A61B1/0051; A61B1/008; A61B2034/303; B25J18/06; A61B2034/742; A61B5/07; A61M25/0116; A61B17/00234; A61B5/4839; A61B1/008
US-5957953-A,Expandable suture anchor,"An adjustably expandable suture anchor is provided. The suture anchor includes a pair of members, one of which includes a suture mount, which are configured to be secured together in a selected one of a plurality of positions to cause one of the members to expand by an amount that corresponds to the selected position. In one embodiment, the expandable member is an outer member, and the other member is an inner member which is progressively insertable into an opening in a body of the outer member and securable in the selected position therein. For example, the inner member is threaded into the outer member body or is inserted into the body in ratchet-like fashion. As the inner member is inserted distally into the outer member, an exterior enlargement on the inner member engages a plurality of arms which extend proximally from body, and causes the arms to progressively expand radially outwardly. Because the amount of expansion is adjustable, the suture anchor can be customized to provide the proper amount of fixation for the quality of the bone in which the anchor is installed. For example, when used in relatively soft bone tissue, the suture anchor can be expanded to a greater degree than might be required in harder bone tissue to obtain secure fixation.",19990928,A61B2017/00862; A61B2017/0427; A61B2017/0425; A61B2017/0412; A61B2017/0458; Y10S606/916; A61B2017/0403; A61B2017/0424; A61B2017/0438; A61B17/0401; A61B2017/0427; A61B17/0401; A61B2017/0425; A61B2017/00862; Y10S606/916; A61B2017/0424; A61B2017/0412; A61B2017/0458; A61B2017/0438; A61B2017/0403
US-2020197112-A1,Shielding for wristed instruments,"Certain aspects relate to systems and apparatuses with shielded wrists, and methods of actuating instruments with wrists. In one aspect, an instrument includes a shaft, an end effector, and a wrist connecting the shaft to the end effector. For example, the wrist may include a proximal clevis, a distal clevis, and an intermediary frame positioned between the proximal clevis and the distal clevis.",20200625,A61B2090/034; A61B2017/00929; A61B34/74; A61B34/71; A61B34/37; A61B18/1445; A61B2018/146; A61G13/10; A61B2034/2059; A61B2034/105; A61B2034/2051; A61B34/20; A61B2034/2061; A61G13/04; A61B2034/305; A61B2217/007; A61B90/361; A61B2090/306; A61B2217/005; A61B2034/2065; A61B34/30; A61B34/71; A61B2017/00862; A61B2217/005; A61B2090/3764; A61B2217/007; A61B2017/00336; A61B2034/301; A61B2017/00199; A61B2034/2051; A61B2034/305; A61B34/37; A61B34/30; A61B2034/305; A61B2034/301; A61B2017/00199; A61B34/71
US-5964769-A,Surgical cable system and method,"A surgical cable system and method for securing surgical cable around a portion of a human element (e.g., bone) is described. The surgical cable system may include a connector and a tensioner. The connector may be adapted to hold a pin, positionable within the connector, such that the pin may secure the cable within the connector. The pin may be repositioned, after securing the cable, to allow the cable to move freely through the connector. The cable may be oriented within the connector such that the ends of the cable are perpendicular or parallel with respect to each other. The tensioner is preferably adapted to vary the tension of the cable. The cable may be passed through the connector, around a portion of a human bone, and back through the connector. The cable may be tensioned by use of the tensioner and secured into position within the connector.",19991012,Y10T24/3951; A61B17/842; A61B17/8869; Y10T24/3951; A61B17/82; Y10S606/907; A61B17/8861; A61B17/842; A61B17/8869; A61B17/8861; Y10S606/907; A61B17/82
US-2011295074-A1,Methods and Devices for Providing Multiple Devices Access to a Surgical Site Through a Single Port,"Methods and devices are provided to assist in providing multiple devices access to a surgical site through a single port. In one exemplary embodiment an access device includes a body having a plurality of ports. The ports can include at least one primary instrument port and at least one secondary instrument port. A self-sealing passageway can be disposed between the primary and secondary instrument ports to allow communication between the two ports. As a result, a surgical instrument can be repositioned from one port to another without removing the instrument from the access device. In one embodiment a combined end effector nominal width of surgical instruments disposed in the ports can be greater than a diameter of the primary instrument port and/or a diameter of the body of the access device. Exemplary systems and methods for performing procedures using multiple devices in a single surgical opening are also provided.",20111201,A61B2017/3466; A61B2017/3445; A61B1/32; A61B2017/3445; A61B2017/3466; A61B1/32; A61B17/3423; A61B17/3423
US-4388921-A,Device comprising a plate and screws for fastening a plate to a bone,"A plate bearing against a bone has a number of clearance holes with sleeves. Openings provided in the sleeves include each a section diverging away from the bone and bounded by a conical surface. The sleeves are subdivided into tongues by means of slots cut into the free face of the collar. A screw is screwed into the bone at every clearance hole, the head of the screw being bounded by a conical or convex surface. By tightening the screw the tongues are forced apart by the head of the screw, thus clamping the sleeve in relation to the plate. This provides a guarantee, that the plate will stay rigidly connected with the screws, even if a reabsorption of bone takes place. Some of the sleeves comprise clamping parts excentric in relation to the screw axes, enabling the surgeon to press the bone pieces against each other.",19830621,A61B17/8004; A61B17/8047; A61B17/8047; A61B17/1728; A61B17/1728; A61B17/8004
US-2003060927-A1,Removable infinite roll master grip handle and touch sensor for robotic surgery,"An input device for robotic surgery mechanically transmits a grip signal across a first joint coupling a handle to a linkage supporting the handle. The handle is removable and replaceable, allows unlimited rotation about the joint, and may optionally include a touch sensor to inhibit movement of a surgical end effector when the hand of the surgeon is not in contact with the handle.",20030327,G05G1/06; G05G9/04737; G16H40/63; A61B34/37; A61B34/30; A61B34/71; A61B34/70; A61B2017/00477; A61B34/37; A61B2017/00477; A61B34/30; A61B34/71; A61B34/70; G16H40/63
US-10076344-B2,Gap referencing femoral sizer,"A knee arthroplasty assembly for use in a patient&#39;s knee joint including a tibia and a femur is disclosed. The assembly can include a tool, a first accessory, and a second accessory. The tool can include a tibial component configured for placement against the tibia and a femoral component configured for placement against the femur. The femoral component can be moveably coupled to the tibial component to place the patient&#39;s knee joint in tension by separating the tibia and the femur. The first accessory can be removeably coupled to the tibial component of the tool. The second accessory can be referenced to the first accessory and can have a reference indicator that references the femur for determining a size of the femur.",20180918,A61F2/4657; A61B17/025; A61B2017/0268; A61B17/88; A61B2090/061; A61B90/06; A61F2002/4658; A61B2090/067; A61B2090/061; A61B2090/067; A61F2002/4658; A61B17/155; A61B17/155; A61B17/025; A61B2017/0268; A61B90/06; A61B17/1764; A61B2090/061; A61F2/4657; A61B2017/0268; A61B17/1764; A61B2090/067; A61B17/155; A61B17/88; A61B2017/0268; A61B2017/90; A61B2090/067; A61F2002/4658; A61B17/155; A61B2019/461; A61B17/1764; A61B17/025; A61B19/46; A61B17/88; A61B2090/061; A61F2/4657; A61B17/025; A61B17/90; A61B17/90
US-2018235709-A1,Systems and Methods of Registration for Image-Guided Surgery,"A method of registering sets of anatomical data for use during a surgical procedure is provided herein. The method may include segmenting a set of first modality image data representing a model of one or more passageways within a patient and generating a first set of points based on the segmented set of first modality image data representing the model of the one or more passageways. The method may further include determining a set of matches between a second set of points and the first set of points, wherein the second set of points is obtained by a second modality and discarding a subset of the set of matches based on a first heuristic to generate a modified set of matches. The second set of points may then be moved relative to the first set of points based on the modified set of matches.",20180823,A61B34/35; A61B8/0841; A61B2034/2061; A61B2034/2051; A61B2034/2065; A61B5/0536; A61B5/055; A61B2034/301; G06T7/344; A61B90/37; A61B34/20; A61B6/032; A61B5/066; A61B5/062; A61B5/0066; A61B5/015; A61B1/0016; A61B2017/00699; G06T2207/10068; G06T2207/10081; G06T2207/10088; G06T7/33; G06T7/12; A61B2090/3937; A61B2090/0811; A61B2017/00809; G06T2207/30172; G06T2207/10116; A61B34/30; A61B1/0016; G06T2207/30172; G06T7/33; G06T7/12; G06T2200/24; A61B2034/2065; A61B90/37; A61B34/35; A61B34/20; A61B8/0841; A61B6/032; A61B5/066; A61B5/062; A61B5/055; A61B5/0536; A61B5/015; A61B5/0066; G06T2207/30061; G06T2207/10088; G06T2207/10116; G06T2207/10081; G06T7/344; G06T2207/30061; G06T2207/10068; A61B2090/3937; A61B2090/0811; A61B2034/2061; A61B2034/105; A61B2017/00809; A61B2017/00699; A61B2034/301; A61B2034/2051; A61B34/30; A61B2034/107; A61B2034/105; A61B2034/2061; A61B2034/107; A61B2034/2051; A61B2034/301
US-2003135091-A1,Medical treatment method and apparatus,"A medical treatment method comprises orally inserting a first endoscope having a first treatment tool provided thereto into a body cavity, inserting a first insertion member insertion support tool from at least one of abdominal and transdermal cavities into the body cavity, inserting a second endoscope having a second treatment tool provided thereto into the body cavity through the first insertion member insertion support tool, grasping a lesioned part by the second treatment tool inserted into the body cavity by the second endoscope, cutting the lesioned part by the first treatment tool inserted into the body cavity by the first endoscope, and collecting the lesioned part.",20030717,A61B1/00073; A61B2018/1407; A61B17/3421; A61B1/018; A61B2017/3445; A61B1/00149; A61B1/31; A61B1/0014; A61B1/01; A61B90/50; A61B17/3415; A61B1/313; A61B1/00154; A61B1/015; A61B2017/00296; A61B2017/00269; A61B1/00154; A61B2017/00296; A61B1/00149; A61B2017/3445; A61B1/0014; A61B1/01; A61B1/015; A61B2017/00269; A61B90/50; A61B17/3415; A61B1/018; A61B17/3421; A61B2018/1407; A61B1/31; A61B1/00073; A61B1/313
US-8140982-B2,Method and system for splitting virtual universes into distinct entities,"Systems and methods for allowing an administrator or program to select a region or set of avatars in a virtual universe grid for splitting into another, separate and distinct virtual universe grid. If a region is selected, all of the avatars and virtual universe resources associated with the region are locked, their data is retrieved, and another separate virtual universe grid is commanded to create and insert the avatars and resources in it. If avatars are selected, all of the resources, scripts, histories, and information regarding the selected avatars are retrieved, and the avatars are locked in the source universe. Then, another, separate virtual universe grid is commanded to create universe user identifiers for the avatars, and they are inserted into the separate VU grid. Cleanup includes deleting the region and/or avatars from the first (source) virtual universe grid.",20120320,A63F13/10; A63F13/79; A63F2300/5533; A63F2300/5553; A63F2300/5553; A63F2300/8082; A63F2300/8082; A63F2300/5533; A63F13/12; A63F13/45; A63F13/30
US-5676673-A,Position tracking and imaging system with error detection for use in medical applications,A system for monitoring the position of a medical instrument with respect to a patient&#39;s body and for displaying at least one of a plurality of prerecorded images of said body responsive to the position of said medical instrument. In one embodiment the system includes a reference unit secured from movement with respect to the patient&#39;s body such that said reference unit is substantially immobile with respect to a target operation site. The system also includes a remote unit for attachment to the medical instrument. A field generator may be associated with one of the units for generating a position characteristic field in an area including the target operation site. One or more field sensors may be associated with either of the units responsive to the presence of the position characteristic field for producing one or more sensor output signals representative of said sensed field. A position detector in communication with the sensor output signal produces position data representative of the position of the remote unit with respect to the reference unit. An output display in communication with the position detector displays at least one of the prerecorded images responsive to the position data.,19971014,A61B6/032; A61B90/98; A61B2034/2051; A61B2090/0818; A61B6/037; A61B6/037; A61B2017/00482; A61B90/361; A61B34/20; A61B2034/2068; A61B90/14; A61B2017/00464; A61B90/39; A61B90/10; A61B5/06; A61B2017/00464; A61B90/361; A61B5/062; A61B2017/00477; A61B5/064; A61B2034/2068; A61B2017/00482; A61B5/062; A61B2090/3983; A61B90/36; A61B2090/363; A61B2090/363; G01B7/004; A61B90/98; G01B7/004; A61B90/36; A61B90/10; A61B2090/3937; A61B5/06; A61B34/20; A61B2017/00477; A61B90/14; A61B2017/00022; A61B2017/00022; A61B2034/2072; A61B2090/0818; A61B6/032; A61B2090/3983; A61B5/064; A61B2034/2055; A61B2034/2051; A61B2090/3937; A61B2034/2072; A61B90/39; A61B2034/2055; G06T3/14; G06T3/14
US-2018368930-A1,Systems and methods of providing assistance to a surgeon for minimizing errors during a surgical procedure,"Systems and methods for providing assistance to a surgeon for minimizing errors during a surgical procedure are disclosed. A method includes creating a Three-Dimensional (3D) model of a patient using at least one image of an affected area of the patient. Surgical paths are retrieved for performing a surgical procedure. A surgical path, selected by a surgeon, may be displayed as overlaid on the 3D model. A haptic barrier and a hard barrier may be defined for different types of tissues and feedbacks may be associated with the haptic barrier and the hard barrier. Position of a surgical tool of a robotic surgical system may be monitored in real-time during a surgical procedure. Movement of the surgical tool into one of the haptic barrier and the hard barrier may be detected and a suitable feedback may be provided, based on the movement.",20181227,A61B2090/364; A61B2034/254; G06T2219/004; A61B2034/254; A61B90/03; G16H50/30; A61B2017/00119; A61B2090/502; A61B2034/105; A61B2034/2065; A61B34/25; A61B2090/365; A61B2090/378; A61B90/37; A61B2034/105; A61B2090/378; A61B2034/256; A61B34/37; G06T19/006; G06T2219/2012; A61B34/76; G16H40/63; A61B34/10; G06T2200/08; G06T19/003; G06T19/20; A61B2034/744; A61B34/10; G16H50/50; G06F3/016; A61B17/1626; G16H20/40; G06T2210/41; A61B2090/365; G06T17/00; G06F3/011; A61B34/76; A61B90/37; A61B2017/00203; A61B34/35; A61B2034/107; A61B2017/00119; A61B2090/372; A61B17/3211; G06F3/04847; G16H30/40; A61B2034/2057; G06F3/016; A61B2034/107; G06T17/00; A61B34/35; G06T2219/2012; G06T19/20; A61B2090/378; G06F3/016; G06T19/003; A61B34/10; G06T2200/08; G06T2219/004; A61B90/37; A61B17/1626; A61B34/25; A61B34/76; A61B34/20; A61B2034/744; A61B2034/2057; A61B2017/00203; A61B2034/256; A61B34/37; G16H20/40; A61B2090/364; G06T19/006; A61B90/03; A61B2034/2065; A61B2090/502; A61B2090/372; G16H50/50; G06T2210/41; G16H50/30; G16H40/63; G16H30/40
