link_row,node1,node2,ours_text,baseline_run1,baseline_run2,baseline_run3
10,CN-102933163-A,US-2014180290-A1,"One of the methods of the present invention includes a virtual surgical tool system for manipulating anatomical data generated by a computer and displaying it to a user during a surgical procedure. The system is configured to detect anatomical changes in a patient during a surgical procedure. A user interface is configured to provide feedback to a surgeon on the anatomical position of a surgical implant. The anatomical position of a surgical implant can be correlated with the anatomical position of a surgical instrument, based on a combination of physical and electro-mechanical parameters.","A surgical system and method are disclosed for performing computer-assisted surgery using patient-specific anatomy models combined with haptic-constrained tool guidance. A three-dimensional model of the patient’s anatomy is generated, and an optimal implant orientation and position are determined to design patient-matched instrumentation that defines virtual entry boundaries and safe tool paths. A surgical tool, associated with a virtual haptic interaction point, is registered to the patient-matched instrumentation, and a processing circuit activates haptic objects that constrain tool motion when the virtual haptic interaction point approaches or crosses the predefined boundaries. The system thereby provides real-time, anatomy-specific haptic feedback to guide the surgeon along planned trajectories while preventing deviation outside the virtual constraints.","A surgical system and method are disclosed for performing computer-assisted procedures using patient-specific 3D anatomical models in combination with virtual haptic guidance. A 3D model of the patient’s affected area is generated, and patient-matched instrumentation is created and positioned on the anatomy to acquire registration information and define an implant orientation and position. A surgical tool, registered to the model and associated with a virtual haptic interaction point, is then constrained by one or more virtual entry boundaries and haptic objects that correspond to planned surgical paths and implant locations. Movement of the tool is thus haptically guided within the patient-specific virtual environment to improve accuracy and safety of the surgical procedure.","A surgical system and method are disclosed that integrate patient-specific 3D anatomical modeling and virtual haptic boundary control for computer-assisted surgery. A 3D model of the patient’s affected area is generated and used to determine an implant orientation and position, and to design patient-matched instrumentation that serves as a physical registration interface for a computer-assisted surgical tool. A virtual haptic interaction point associated with the surgical tool is registered to the patient’s anatomy via the patient-matched instrumentation, enabling establishment of virtual entry boundaries and haptic objects that constrain tool motion relative to the planned implant position. The system thereby provides guided, constrained tool manipulation within the patient-specific anatomy to enhance accuracy and safety of implant placement."
11,US-2019290247-A1,US-2013253550-A1,"A bi-sectional endoscopy device of the present invention comprises an implantable catheter that is able to be inserted into a body cavity for the purpose of generating an image of the surrounding tissue. The implantable catheter is anchored to the endoscope by means of a flexible suture. In addition, the implantable catheter is equipped with a magnetically activated ligand, a receptacle, and a protruding membrane. The ligand is positioned at the surface of the implantable catheter to facilitate insertion and dissection.","A surgical system for image-guided, magnetically assisted anastomosis combines an endoscopic-ultrasound image fusion workstation with an implantable magnetic anastomosis device. The system includes an image fusion controller configured to detect a laparoscopic ultrasound probe and a delivery endoscope within a common field-of-view and to generate a fused endoscopic-ultrasound image of a target anatomical region. Based on the fused image space, a navigation module guides minimally-invasive deployment and self-assembly of a linear-configured magnetic exoskeleton device into a polygonal configuration circumscribing tissue selected for anastomosis. The fused imaging further enables real-time assessment of device placement, tissue apposition, and subsequent formation of the anastomosis.","A system and method for image-guided deployment of an implantable magnetic anastomosis device using fused endoscopic and laparoscopic ultrasound imaging is disclosed. An image fusion workstation registers an endoscopic image space to an ultrasound image space by detecting an ultrasound probe within the endoscope field-of-view, and generates a real-time fused visualization of the target tissue region. The magnetic anastomosis device, deliverable in a linear configuration via the endoscope or laparoscopic port, is navigated and positioned under this fused guidance to self-assemble into a predefined polygonal configuration circumscribing the selected tissue. The fused imaging enables precise placement, monitoring of tissue apposition, and verification of anastomosis formation and patency over time.","A system and method for image-guided deployment of an implantable magnetic anastomosis device using fused intraoperative imaging is disclosed. An image fusion workstation registers and fuses a real-time endoscopic or laparoscopic image of an anatomical region with an ultrasound image acquired by a laparoscopic ultrasound probe, based on detection and tracking of the probe within the endoscopic field of view. The fused image stream is used to plan, guide, and verify minimally-invasive delivery and self-assembly of a magnetic anastomosis device from a linear to a polygonal configuration around a selected tissue segment. The system further enables real-time assessment of tissue apposition, perfusion, and eventual necrosis/perforation at the anastomosis site, thereby improving precision and safety of magnetic anastomosis procedures."
12,US-2018049821-A1,US-2008065110-A1,"An endoscopic surgical tool comprises a robot-operated manipulator arm with a coupling mechanism that allows the manipulator arm to move relative to a surgical instrument. The coupling mechanism allows the manipulator arm to be flexibly accessed by a surgical instrument. A drive shaft is attached to the manipulator arm. The assembly includes a handle for controlling the movement of a surgical instrument, and a first-in, first-out, and second-in, middle-in, and third-in device for removing tissue from a surgical instrument.","A robotic surgical system includes a control system operatively coupled to one or more minimally invasive robotic instruments each having an end effector driven through a compact U-turn actuation mechanism. The U-turn mechanism transmits actuating forces around a tight bend radius between proximal drive elements and a distal wrist and end effector, enabling articulation within constrained anatomical spaces. One or more sensors disposed along the instrument and within the U-turn mechanism measure forces, torques, and velocities associated with the distal components. The control system processes the sensed data to determine movement parameters and actively modulate actuation through the U-turn mechanism, thereby providing precise control of tissue manipulation and cutting while mitigating unintended tissue damage.","A robotic minimally invasive surgical system is disclosed in which a control system manipulates one or more robotic arms coupled to elongated tool assemblies incorporating compact U-turn mechanisms. Each tool assembly includes an end effector and optionally a wrist mechanism positioned distal to a U-turn mechanism that transmits actuating forces around a tight bend radius, enabling complex distal articulation within confined anatomical spaces. One or more sensors disposed along the shaft and near the U-turn mechanism measure forces, velocities, and tensions associated with the robotic arm and distal components. The control system processes the sensed data to determine movement parameters that coordinate robotic arm motion with U-turn force transmission, thereby precisely controlling tissue cutting or manipulation while reducing the risk of unintended tissue damage.","A robotic surgical system comprises a control system operatively coupled to at least one robotic arm supporting a minimally invasive instrument having a U-turn mechanism for transmitting actuating forces around a compact bend. The U-turn mechanism is configured to route control forces to a distal wrist and end effector through a bend radius smaller than that of comparable flexible arms while maintaining precise motion transmission. One or more sensors are disposed along the instrument and at the end effector to measure forces, velocities, or tensions associated with tissue interaction and instrument motion. The control system processes the sensed data to determine and adjust movement parameters of the robotic arm and U-turn-actuated distal components to achieve controlled tissue manipulation and cutting while reducing unintended tissue damage."
13,US-2017360509-A1,US-2014031664-A1,"A method for a patient undergoing orthopaedic surgery comprises a device for positioning and adjusting the anatomical portion of a bone implant in a joint. The device may be augmented with a computer-generated guidance system to generate a map of the anatomical portion of a bone implant. In addition, the invention includes methods for obtaining data from a multi-probe imaging system, such as a digital camera, which is used to identify the location of the implant in relation to the anatomical portion of the joint.","A system and method are provided for navigated orthopedic revision surgery utilizing a hand-held imaging device and existing implants as registration references. The system includes a radiation-based hand-held imaging unit with an integrated detector and a navigation system configured to track the pose of the imaging unit in real time relative to the patient. Image data acquired from the tracked device is registered to the known geometry and spatial position of an in-situ orthopedic implant, allowing precise localization and guided removal of bone, bone cement, and/or the prosthesis. The system may further interface with robotic or articulating hand-held tools to execute computer-assisted, image-guided resection and implant extraction with improved accuracy and reduced invasiveness.","A system and method are provided for computer-assisted revision orthopedic surgery that integrates intraoperative imaging with implant-based registration. A hand-held radiation imaging device with a tracked pose acquires real-time image data of a previously implanted prosthesis and surrounding bone and/or bone cement. The navigation system uses the known geometry and position of the existing implant, as visualized in the tracked images, to automatically register the patient anatomy and guide precise removal of bone, cement, and/or the prosthesis. The system may be used with robotic or articulating hand-held tools to execute planned cuts or removal paths based on the intraoperative imaging and implant-based registration.","A system and method are provided for navigated orthopedic revision surgery that integrates a hand-held imaging device with an existing implanted prosthesis as a registration landmark. The system includes a radiation-based hand-held imaging probe tracked by a navigation system to acquire intraoperative images of bone, bone cement, and prosthetic interfaces, and to determine the pose of the device relative to the implant. Using the known geometry and spatial position of the existing implant, the system generates a real-time, registered anatomical model that guides removal of bone, bone cement, and/or the prosthesis. The system may further interface with robotic or articulating hand-held cutting tools to execute planned removal trajectories with enhanced accuracy and reduced damage to surrounding tissue."
14,JP-2016505326-A,US-9588583-B2,"1 The invention comprises a method for establishing a bone satchet relative to the surface of the body of the first osteotomy. The technique is achieved by cutting a portion of a bone satchet into the surface of the body of the first osteotomy. The insertion point of the insertion point is controlled by a coupling tool, which provides a positional adjustment of the insertion point relative to the surface of the body of the first osteotomy. The coupling tool provides a positional adjustment of the insertion point relative to the surface.","A system and method for computer-assisted wedge-opening osteotomy is provided, comprising a bone fixation plate and a haptic-enabled virtual planning environment. The system includes a computer configured to generate a patient-specific bone model, simulate formation of first and second bone voids and corresponding cut surfaces, and virtually position a fixation plate having first and second holes. The computer is further configured to compute haptic interaction geometric primitives corresponding to plate-bone alignment and osteotomy gap manipulation, and to determine haptic forces in distinct subspaces corresponding to translational and rotational adjustments of the bone segments. A haptic interface outputs substantially stable haptic feedback to guide the surgeon in achieving desired alignment before physical cutting and fixation with fasteners.","A surgical guidance system for wedge-opening osteotomy integrates virtual haptic interaction with bone fixation planning. A computer generates a virtual model of a bone, a fixation plate having first and second holes, and associated fasteners, and defines haptic interaction geometric primitives corresponding to cutting planes and planned fastener void locations. The computer determines, in a first haptic subspace, forces that guide a virtual or robot-assisted tool along predetermined osteotomy cut paths and void-formation trajectories, and in a second, different haptic subspace, forces that guide alignment of the plate holes with the formed bone voids as the cut bone segments are repositioned. The system provides substantially stable haptic feedback to the surgeon or robotic instrument during cutting, repositioning, and plate fixation to improve accuracy of osteotomy gap opening and hardware placement.","A computer-assisted orthopedic osteotomy system is provided that combines a fixation plate and guided cutting methodology with real-time haptic feedback in multiple subspaces. The system includes a bone fixation plate having first and second apertures configured to define corresponding bone voids used as cutting and repositioning references, and a virtual surgical tool rendered in a mixed-reality or robotic interface. A processor identifies first and second subsets of haptic interaction geometric primitives corresponding respectively to an approach/cutting subspace and a repositioning/fixation subspace, and computes haptic forces for each subspace to guide the surgeon’s tool path and bone-segment manipulation. By aligning the fixation plate apertures with the bone voids while providing substantially stable multi-subspace haptic feedback, the system enhances accuracy and stability of wedge-opening osteotomy planning, execution, and fixation."
15,US-10716630-B2,US-2014031664-A1,"An imaging system includes a radiation source formed to capture a photon of a radiation source, a handheld device disposed on a fixed surface, and a method of adjusting the position of the handheld device, a handheld device disposed on a fixed surface, and a navigation device disposed on the handheld device.","A system and method for performing revision surgery integrates a hand-held imaging device with a robotic-assisted surgical system to facilitate implant removal. The hand-held imaging device includes a radiation source, detector, and navigation system configured to track its pose and acquire intraoperative image data of an implant-bone interface. The system processes the acquired image data to determine information related to the interface area and to generate a planned virtual boundary for removal of a portion of the interface. A robotic system tracks a cutting tool in physical space, correlates its movement with a virtual tool, and constrains the cutting tool based on the planned virtual boundary to guide removal of the implant component from the bone.","A system and method for robot-assisted revision surgery utilizes a hand-held, tracked imaging device to acquire intraoperative image data of an implant-bone interface. The navigation system determines the pose of the hand-held imaging device and generates an updated three-dimensional representation of the implant and surrounding bone. Based on this representation, the system determines interface information and computes a planned virtual boundary for material removal to facilitate implant extraction. A robotic cutting tool is then tracked and constrained relative to the planned virtual boundary, such that cutting is dynamically guided and limited according to the real-time imaging and pose-tracked updates.","A system and method for performing revision surgery combines a robotic-assisted surgery platform with a hand-held imaging and navigation device. The method includes using the hand-held imaging device having a radiation source and fixed detector, tracked in real time by a navigation system, to acquire intraoperative image data of an implant-bone interface region. Based on the acquired image data, the system determines information related to the interface area and generates a planned virtual boundary defining a portion of the interface to be removed. A robotic or navigated cutting tool is then tracked and constrained according to the planned virtual boundary, enabling guided removal of the implant component from the bone with updated intraoperative imaging feedback."
16,JP-2014531920-A,US-2014031664-A1,"1 An orthopaedic surgery device comprising a base unit is configured to generate an image of a patient's position relative to a target joint. The device comprises a control mechanism for adjusting the position of a target joint. The device comprises a control mechanism for adjusting the position of a target joint relative to a target joint. In addition, the invention permits the use of a plurality of optical probes, including a hand-held device and a computer-aided image processing system.","A system and method are disclosed for image-guided joint repair and implant revision that integrates a patient-specific joint reconstruction platform with a hand-held tracked imaging device. The system includes customized or highly selectable surgical tools and implant components adapted to an individual patient, and a radiation-based imaging device having a source and detector rigidly fixed together and tracked in real time by a navigation system. Intraoperative image data acquired by the hand-held imaging device are used to determine the pose of existing or damaged implants and surrounding anatomy, and to guide preparation of bone surfaces and placement of customized replacement components. The integration of customizable tools and real-time navigated imaging improves accuracy, speed, and adaptability during complete or partial joint arthroplasty and revision procedures.","A system and method are disclosed for patient-specific joint repair using a tracked hand-held imaging device. The system comprises customized or highly selectable surgical tools and implant components configured for optimal fit and function in joint revision or replacement procedures, and a navigation-enabled imaging device having an integrated radiation source and detector to intraoperatively acquire three-dimensional image data of the joint region. The navigation system tracks the pose of the hand-held imaging device relative to the patient and surgical tools to provide real-time guidance for preparation of bone surfaces and placement of customized implants. The imaging and navigation data are further used to update and refine preoperative plans and to verify final implant position and joint function during the procedure.","A system and method are disclosed for image-guided revision arthroplasty using a patient-specific, handheld imaging and navigation platform. The system comprises a handheld radiation-based imaging device having an integrated detector and pose-tracked by a navigation system, configured to acquire intraoperative images of a joint having a damaged implant. Patient-specific or highly selectable surgical tools and implant components are generated or selected based on preoperative and intraoperative imaging data, and their positioning is dynamically guided using the tracked handheld imager to optimize fit and function. The system improves speed, accuracy, and ease of performing complete or partial joint replacement or re-replacement procedures."
17,WO-2016089870-A1,US-9588583-B2,"A method of the invention relates to a computer-controlled system for generating a virtual haptic representation of a surgical procedure by using a combination of a simulated haptic model and a predetermined haptic model. The predetermined haptic model is then analyzed for morphological features, such as bone structure and joint surface area. Two methods of the invention are described for generating a virtual haptic representation of a surgical procedure by using a predetermined haptic model and adjusting a predetermined haptic model to a target.","A system and method are disclosed for image-free, haptically guided orthopedic implant revision surgery. The method includes generating an initial 3D model of a target bone based on predefined anatomical parameters, collecting intraoperative surface points from exposed bone regions, and producing an updated, reshaped 3D bone model in real time. A haptic interface is configured with geometric interaction primitives associated with the reshaped 3D model, and the system identifies first and second subsets of the primitives to compute haptic forces in corresponding, different subspaces. The resulting haptic feedback provides substantially stable, spatially differentiated guidance to a virtual surgical tool, enabling accurate bone preparation and implant positioning without preoperative imaging.","Systems and methods are disclosed for image-free computer-assisted orthopedic revision surgery with subspace-decomposed haptic guidance. A 3D model of a target bone and existing implant is generated from predefined anatomical parameters and intraoperatively acquired surface points, and is iteratively reshaped to reflect actual patient anatomy. A virtual surgical tool is defined in the modeled environment, and a haptic interaction engine identifies distinct subsets of geometric primitives associated with implant removal, bone preservation, and implant preparation. Haptic forces are computed in corresponding subspaces to provide substantially stable, task-specific tactile feedback that guides the surgeon in executing the revision plan while minimizing unintended bone removal.","A system and method are provided for planning and executing image-free revision implant surgery with stable, multi-subspace haptic guidance. The system generates an initial three-dimensional model of a target bone using pre-defined anatomical parameters, acquires intraoperative surface points from the exposed bone, and produces a reshaped three-dimensional model reflecting the actual patient anatomy. A virtual surgical tool is associated with haptic interaction geometric primitives derived from the reshaped model, and a computer identifies distinct subsets of these primitives to define multiple haptic subspaces corresponding to different surgical tasks or regions. Haptic forces are computed separately in each subspace and combined to provide substantially stable, task-specific tactile feedback to guide bone preparation and implant placement during revision surgery without reliance on preoperative imaging."
18,US-2012071893-A1,US-9588583-B2,A method for generating and adjusting a computer-based haptic simulation of a surgical intervention system is described. The method consists of determining the articulation of a surgical intervention system with respect to a predetermined articulation of a virtual device. One or more parameters of the virtual device are mapped to a predetermined articulation of a surgical intervention system. The user may use a tool to identify the articulation of a surgical intervention system by referring to a predetermined articulation of a virtual device and adjusting the rotational forces,"A system and method for robot-assisted orthopedic surgery provides substantially stable, subspace-decomposed haptic guidance during bone resection for femoral acetabular impingement. Patient-specific three-dimensional models of the proximal femur and acetabulum are generated and used to define dynamic movement limits and target resection volumes for a robotic cutting tool. A haptic controller identifies first and second subsets of haptic interaction geometric primitives corresponding respectively to constraint-enforcing boundaries and desired cutting regions, and computes haptic forces in distinct subspaces to simultaneously enforce safety constraints and guide the surgeon toward the planned resection. The robotic system applies these subspace-based haptic forces to maintain tool motion within the dynamic limits while enabling smooth, stable, and accurate execution of the planned bone removal.","A system for robot-assisted orthopedic surgery provides substantially stable haptic guidance during bone resection procedures. Patient-specific three-dimensional models of a joint are generated and used to define a first subset of haptic interaction geometric primitives corresponding to safe cutting regions and a second subset corresponding to motion-limiting boundaries. A computer determines haptic forces in a first subspace to guide a virtual or physical cutting tool along desired resection paths and determines haptic forces in a second, different subspace to constrain the tool within dynamic movement limits. The robotic system removes bone while the haptic feedback and subspace constraints inhibit tool motion outside of preplanned anatomical and surgical boundaries.","A system and method for robot-assisted orthopedic surgery combine subspace-based haptic rendering with dynamically constrained tool guidance. Patient-specific three-dimensional models of a joint are generated and used to define geometric primitives that partition the haptic interaction space into at least a first subspace associated with safe cutting zones and a second subspace associated with restricted or no-cut regions. A robotic surgical tool is controlled to compute and apply haptic forces in the first and second subspaces, providing substantially stable feedback that guides the surgeon and resists motion into the restricted regions. Dynamic movement limits of the tool are updated in real time based on the subspace-specific haptic calculations and intraoperative data to ensure accurate bone removal while preventing violation of preplanned surgical boundaries."
19,US-2017172662-A1,EP-3679851-A1,"A surgical imaging system of the present invention includes a method for manipulating an image generated by a surgical instrument to provide a user with a guide to a surgical procedure. A computer-aided image processing tool detects the position of a surgical instrument at a focal point and transmits the image to the surgical instrument. The data generated by the surgical instrument are correlated with the image generated by the surgical instrument. During the operation, an end-to-end visual representation of the image is provided, and multiple images of the image are displayed in three-dimensional space.","A system and method are provided for real-time intra-operative Q3D visualization and instrument guidance that integrates multi-camera IR-based 3D imaging with endoscopic Q3D modeling and tracking. An anatomical object is scanned and simultaneously imaged by multiple IR cameras and at least one Q3D endoscope, wherein parallax-derived integrated IR images are registered with Q3D endoscopic data to generate a unified intra-operative 3D model. Surgical instruments are tracked within this unified model, and virtual fields of view corresponding to instrument tips are generated to display predicted instrument paths and dynamically updated no-fly zones around critical anatomical structures. The system enables continuous, real-time, multi-perspective visualization and collision-avoidance guidance for instruments during minimally invasive procedures.","A system and method are provided for real-time intra-operative 3D guidance that integrates Q3D endoscopic imaging with parallax-based IR multi-camera scanning. An anatomical object and surrounding instruments are imaged concurrently by a Q3D endoscope and a plurality of IR cameras mounted on or around surgical instruments. A processor fuses the Q3D scene model with the integrated IR-based 3D image to generate an enhanced, registered intra-operative 3D representation, identifies instruments and anatomical structures, and computes instrument trajectories with dynamic no-fly zones. The system further renders virtual fields of view from selected instrument perspectives to provide predictive path visualization and 3D tracking during surgical procedures.","A system and method are provided for real-time intra-operative Q3D visualization and navigation that integrates multi-modal imaging with predictive instrument guidance. An anatomical region is scanned and concurrently imaged with a plurality of IR and optical cameras mounted on or around multiple surgical instruments to generate parallax-based integrated 3D and Q3D scene models. A processor fuses the scanner data, IR images, and optical images to produce a dynamically updated Q3D representation of target structures and instruments, and displays the scene from a selectable virtual instrument field of view. The processor further determines and visualizes no-fly zones around critical anatomy, predicts safe instrument paths within the Q3D model, and provides continuous 3D tracking and collision-avoidance feedback during intervention."
20,US-2014194732-A1,US-2021289189-A1,"1 An operating room surgical tool system comprises a camera with a viewfinder, a camera with a viewfinder, a camera with a viewfinder, a camera with a viewfinder, a camera with a viewfinder, a camera with a viewfinder, a camera with a viewfinder, a camera with a viewfinder, a camera with a viewfinder, a camera with a viewfinder, and a camera with a viewfinder. 2 An end-axis position is performed to identify the position of a rotating instrument.","A system and method for intraoperative three-dimensional imaging and measurement within a body cavity are disclosed. The system comprises multiple trocars with retractable, tracked cameras and at least one laparoscopic instrument incorporating a wide-field optical imaging module with an optional path folding mirror, and a primary high-resolution camera. An image processing unit receives images from the retractable cameras, the wide-field camera, and the primary camera, applies geometric and optical transforms based on tracked positional marks and known optical paths, and fuses the images to generate real-time stereoscopic and three-dimensional reconstructions of the surgical field. The reconstructed images are presented on a three-dimensional display to provide highly accurate depth perception and quantitative shape measurements for surgical guidance.","A surgical imaging and assistance system for minimally invasive procedures comprising multiple instrument-mounted retractable cameras with fixed-reference tracking markers, at least one wide-field camera, and a laparoscope, all oriented toward a surgical target region. An optical tracking sensor determines the three-dimensional positions and orientations of the tracking markers, and an image processor receives images from the instrument-mounted cameras, the wide-field camera, and the laparoscope. The processor applies geometric and optical image transforms, including path-folding corrections for the wide-field camera, to co-register and fuse the images into a unified stereoscopic three-dimensional representation of the target and surrounding anatomy. The fused three-dimensional image is displayed on a stereoscopic monitor to enable accurate intra-abdominal shape measurement, depth perception, and tool guidance during surgery.","A surgical visualization and navigation system is provided that combines trocar-mounted retractable cameras with a wide-field optical imaging subsystem to generate enhanced stereoscopic three-dimensional images of an internal surgical target. The system includes multiple instrument trocars each having integrated cameras with fixed positional relationships to optical tracking markers, at least one wide-field camera with optional path-folding mirrors, and a processor configured to receive images from both trocar and wide-field cameras. The processor tracks the positions of the markers to estimate camera geometries, applies image transforms to register and align the trocar and wide-field images, and fuses the transformed images into a stereoscopic three-dimensional representation of the operative field. The resulting stereoscopic image is displayed on a three-dimensional monitor to provide accurate depth perception and real-time measurement of anatomical structures during minimally invasive procedures."
21,US-9861271-B2,EP-3679851-A1,"One method relates to a surgical imaging system comprising a manipulating device, an endoscope, and a camera. The manipulating device generates an image of the anatomical position of a patient in a surgical procedure. The imaging system is augmented to provide a virtual image of the anatomical position of a patient in a surgical procedure. In addition, the image is analyzed for accuracy by a data acquisition process. The data acquisition process may be performed remotely from the imaging system, including the acquisition of three-dimensional images of the anatomical position of objects.","A system and method for intra-operative 3D imaging and motion-compensated navigation of moving anatomical targets combines tracked endoscopy with multi-camera IR-based surface reconstruction. An endoscope including a tracking mechanism records its position and orientation relative to target tissue while a motion sensor characterizes cyclical organ motion. Simultaneously, a plurality of IR cameras, mounted on surgical instruments or the operating environment, capture IR images that are integrated via parallax-based processing into a real-time 3D anatomical model registered to optical images. The correlated motion data and integrated 3D model enable dynamic updating of the target location and tool guidance to compensate for organ motion during medical procedures.","A system and method for intra-operative guidance integrates endoscopic motion tracking with multi-camera infrared-based 3D imaging of anatomical structures. An endoscope equipped with a tracking mechanism records its positions and orientations relative to moving target tissue while a motion sensor characterizes cyclical organ motion. Simultaneously, multiple IR cameras, optionally mounted on surgical instruments, capture IR images that are fused via parallax to create a real-time 3D representation of the anatomical region. The recorded endoscope poses and organ motion data are correlated with the integrated 3D IR image to provide motion-compensated visualization and navigation during medical procedures.",A system and method for real-time intra-operative imaging of moving target tissue combines tracked endoscopy with multi-camera infrared parallax imaging. An endoscope equipped with a position/orientation tracking mechanism is used in conjunction with multiple IR cameras mounted on surgical instruments or the operating room environment to capture reflected IR light from an anatomical region. The tracked endoscope positions and orientations are temporally correlated with cyclical organ motion data and integrated with the IR parallax images to generate a continuously updated 3D representation of the target tissue. The resulting intra-operative 3D image compensates for organ motion and provides enhanced spatial context for guidance of diagnostic or therapeutic procedures.
22,US-2017360512-A1,US-2020222205-A1,"A surgical instrument system comprises a robotic tool for manipulating a surgically performed joint and a guide device for adjusting the position of the surgically performed joint relative to the patient's body. The method includes a method of generating force to be applied to the surgically performed joint. The method includes a plurality of end-pieces, including a first-axis receptacle and a cutting device. The receptacle is positioned in a pre-determined position relative to the patient's body, and the cutting device is positioned in.","A system and method for robot-assisted orthopedic implant extraction are provided. A robotic arm having an end effector is configured to manipulate an implant extractor tool having pivotably connected jaws and a one-hand operable adjustment mechanism. A robotic controller monitors the position and orientation of the end effector and the extractor jaws, and applies controlled forces to an implant while tracking bone motion via one or more trackers affixed to the bone. The controller determines soft tissue balance and extraction force parameters in real time and outputs guidance and/or automatically adjusts the extractor tool to achieve safe, balanced implant removal.",A system and method for robot-assisted implant extraction are disclosed. The system includes a robotic arm having an end effector coupled to an implant extraction tool with pivotably connected jaws and a one-hand operable adjustment mechanism. A robotic controller monitors the position and orientation of the end effector and applies controlled forces to the implant and associated bone structures based on tracking data from one or more trackers affixed to the bone. The controller determines soft tissue balance during implant engagement and extraction and dynamically adjusts the extraction tool and robotic arm motion to optimize implant removal while minimizing soft tissue disruption.,"A system and method are provided for robot-assisted extraction of orthopedic implants. A robotic arm having an end effector is configured to couple to a one-handed implant extractor tool including pivotably connected arms, jaws for engaging an implant, and an adjustment mechanism controlled by an actuator. A robotic controller monitors position and orientation of the end effector and extractor tool via a tracking system, and applies controlled forces to the implant and surrounding bone based on soft tissue balance data derived from tracker information. The controller dynamically adjusts the extractor’s engagement and biasing forces to optimize implant removal while maintaining desired soft tissue balance, and outputs corresponding metrics to a display."
23,US-2017360512-A1,US-2010100102-A1,"A method is provided for manipulating a portion of a limb to determine the position of a joint relative to the first and second vertebral bones of the limb. The method includes a force sensor and a reversible alignment device. The force sensor is positioned at the proximal end of the limb, and the reversible alignment device is positioned at the distal end of the limb. The reversible alignment device is covered by a flexible plastic covering system comprising a plurality of movable structures, including a bone.","A system and method are provided for robot-assisted ligament balancing during orthopedic surgery. The system includes a robotic arm having an end effector configured to engage a tensor/ligament balancer comprising first and second paddles and a biasing member operable to apply a substantially constant force to the second paddle to measure a joint gap. A robotic controller monitors the position and orientation of the end effector and the paddles, receives tracking information from one or more trackers affixed to patient anatomy, and determines soft tissue balance based on the measured gap under controlled force conditions. The calculated soft tissue balance and corresponding gap measurements are output to a display and can be used to automatically or semi-automatically adjust the position of the end effector to achieve a desired ligament tension profile.","A system and method for robot-assisted soft tissue balancing is provided. The system includes a robotic arm having an end effector operably coupled to a tensor/ligament balancer comprising first and second paddles and a biasing member configured to apply a substantially constant force between opposing anatomical structures. A robotic controller monitors the position and orientation of the end effector and paddles, and determines a real-time soft tissue balance metric based on the gap measured by the balancer and tracking data from markers affixed to the bone. The soft tissue balance information is used to guide robotic manipulation of the joint and can be output to a display to assist in surgical planning and execution.","A system and method for robot-assisted soft tissue balancing during joint arthroplasty is disclosed. The system includes a robotic arm having an end effector configured to operably couple to a tensor/ligament balancer comprising first and second paddles and a biasing member applying a substantially constant force between opposing bony structures. A controller monitors position and orientation of the end effector and the paddles via a tracking system and determines joint gap dimensions and soft tissue balance under controlled, repeatable loading conditions. The determined balance metrics are used to guide robotic adjustment of bone preparation and/or implant positioning, and are output to a display for intraoperative decision-making."
24,US-10383765-B2,US-11344374-B2,"A method comprises a computer-aided robotic system for detecting and mapping the position of a patient during a surgical procedure. The system generates an image of a device based on the information provided by one or more sensors in the system. The system generates an image of a device based on the information provided by one or more sensors in the system. In addition, the system may be configured to display the orientation and orientation of a reference scene from a physical location to a three-dimensional perspective, and to display the orientation and orientation of a reference scene from a virtual location","A system and method for preventing unintended tool motion in robotic-assisted ophthalmic surgery. The system comprises a robotic surgical instrument with integrated inertial sensors and kinematic tracking, an imaging assembly configured to generate a three-dimensional model of a patient’s eye and establish a global coordinate system, and a processor coupled to receive movement and imaging data. The processor is configured to identify unintentional movements of the surgical instrument within the global coordinate system and, in response, generate control signals to suppress, filter, or constrain such movements relative to a predefined virtual boundary. In some embodiments, the system dynamically updates the virtual boundary based on real-time eye motion and tool position to further reduce the risk of inadvertent injury.","A system and method are provided for robotic-assisted surgical control incorporating unintentional motion detection. A robotic surgery platform establishes a global coordinate system for a target anatomy using kinematic data and volumetric imaging to generate a registered three-dimensional model and define virtual safety boundaries. One or more freely moveable surgeon controllers equipped with inertial sensors provide movement data used to command robotic instruments within the coordinate system. A processor analyzes the movement data to identify unintentional movements of the controllers and, based on this identification and the virtual boundaries, selectively filters, attenuates, or blocks corresponding robotic motions to reduce the risk of inadvertent tissue injury.","A system and method for intention-aware robotic-assisted microsurgery are disclosed. The system includes a surgical robotic manipulator and handheld controller equipped with inertial sensors, optical coherence tomography imaging, and kinematic tracking to establish a unified global coordinate system of the surgical field. A processor analyzes movement data from the controller and robotic joints to distinguish intentional tool motions from unintentional movements, and dynamically enforces virtual safety boundaries within the registered three-dimensional model of the patient’s anatomy. Upon detecting unintentional movement, the system selectively filters, attenuates, or overrides corresponding robot commands to prevent tool motion beyond defined safety zones and reduce risk of inadvertent injury."
