node1,node2,structure_text,llm_full,llm_title,t1_structure,t1_full,t1_title
CN-102933163-A,US-2014180290-A1,"One of the methods of the present invention includes a virtual surgical tool system for manipulating anatomical data generated by a computer and displaying it to a user during a surgical procedure. The system is configured to detect anatomical changes in a patient during a surgical procedure. A user interface is configured to provide feedback to a surgeon on the anatomical position of a surgical implant. The anatomical position of a surgical implant can be correlated with the anatomical position of a surgical instrument, based on a combination of physical and electro-mechanical parameters.","A computer-assisted surgical system integrates patient-matched instrumentation and haptic-constrained tool guidance for performing procedures on patient-specific anatomy. A three-dimensional model of the patient’s anatomy is generated and used to determine implant orientation, position, and the design of patient-matched guides that define one or more virtual entry boundaries. A surgical tool associated with a virtual haptic interaction point is registered to the patient-matched instrumentation, and a processing circuit activates haptic objects that constrain movement of the tool when the virtual haptic interaction point approaches or crosses the virtual entry boundaries. The system thereby provides patient-specific, haptically enforced guidance for accurate tool positioning and implant placement during surgery.","A prospective system provides computer-assisted surgical procedures with integrated haptic feedback for enhanced precision and safety. The system includes a processor configured to generate a patient-specific surgical plan from preoperative imaging data and to register the plan to the patient anatomy in real time. A haptically controlled surgical tool is operatively coupled to the processor and is constrained by virtual boundaries corresponding to the planned resection or implant site, providing force feedback and guidance to the surgeon. The system may further adapt the haptic constraints based on intraoperative sensing, thereby dynamically updating the surgical plan and tool guidance during the procedure.",0.907370160440982,0.898587855484157,0.9010998055995008
US-2019290247-A1,US-2013253550-A1,"A bi-sectional endoscopy device of the present invention comprises an implantable catheter that is able to be inserted into a body cavity for the purpose of generating an image of the surrounding tissue. The implantable catheter is anchored to the endoscope by means of a flexible suture. In addition, the implantable catheter is equipped with a magnetically activated ligand, a receptacle, and a protruding membrane. The ligand is positioned at the surface of the implantable catheter to facilitate insertion and dissection.","A system and method for image-guided deployment of an implantable magnetic anastomosis device using fused endoscopic and laparoscopic ultrasound imaging is disclosed. An image fusion workstation generates a real-time composite view of an endoscopic image and an ultrasound image of a target anatomical region, and tracks a deliverable, self-assembling magnetic anastomosis device as it is advanced in a linear configuration through a minimally-invasive access route. The fused image space is used to determine optimal device positioning, tissue capture geometry, and polygonal self-assembly of the magnetic exoskeleton around circumscribed tissue. The system further enables monitoring of tissue apposition, necrosis, and perforation at the anastomosis site via the fused imaging modalities to guide intraoperative decisions and post-placement assessment.","A system and method are provided for image-guided deployment of a self-assembling magnetic anastomosis device within a body lumen using fused endoscopic and ultrasound imaging. Endoscopic images are registered and fused in real time with intraluminal or external ultrasound images to generate a composite visualization of tissue structures and target sites for anastomosis. The fused image data are used to navigate and position at least two magnetic components of an anastomosis device having an exoskeleton so that they self-assemble across opposing tissue walls. The system may further include algorithms for automatic alignment, depth estimation, and verification of anastomosis formation based on multimodal image feedback.",0.8508161706826501,0.8763234282698951,0.8796169470227179
US-2018049821-A1,US-2008065110-A1,"An endoscopic surgical tool comprises a robot-operated manipulator arm with a coupling mechanism that allows the manipulator arm to move relative to a surgical instrument. The coupling mechanism allows the manipulator arm to be flexibly accessed by a surgical instrument. A drive shaft is attached to the manipulator arm. The assembly includes a handle for controlling the movement of a surgical instrument, and a first-in, first-out, and second-in, middle-in, and third-in device for removing tissue from a surgical instrument.","A robotic surgical system is provided that includes a robotic arm controlled by a control system and a minimally invasive surgical instrument having an internal U-turn mechanism. The instrument includes a shaft with an end effector and/or wrist mechanism at a distal end, wherein actuating forces are transmitted around at least one U-turn having a bend radius smaller than that of a comparable flexible arm. One or more sensors positioned along the shaft, U-turn mechanism, and/or end effector measure forces, velocities, and tension in tissue during actuation. The control system uses the sensed parameters to modulate both the robotic arm motion and the transmission of actuating forces through the U-turn mechanism to achieve precise manipulation of the distal components while reducing unwanted tissue damage.","A surgical instrument is provided that combines controlled jaw closure with retrograde navigation through a bodily lumen or tissue tract. The device includes an elongated shaft bearing a retrograde guidance mechanism and a distal jaw or clamp assembly configured to advance in concert with controlled closure force. A control system coordinates the rate of distal advancement with progressive closure of the jaws to securely capture, manipulate, or occlude target tissue while minimizing trauma. The instrument is particularly suited for procedures requiring access from a distal site toward a proximal target, enabling precise tissue engagement, cutting, or fixation under retrograde advancement conditions.",0.9124422655778467,0.9156671020491071,0.8661467602160228
US-2017360509-A1,US-2014031664-A1,"A method for a patient undergoing orthopaedic surgery comprises a device for positioning and adjusting the anatomical portion of a bone implant in a joint. The device may be augmented with a computer-generated guidance system to generate a map of the anatomical portion of a bone implant. In addition, the invention includes methods for obtaining data from a multi-probe imaging system, such as a digital camera, which is used to identify the location of the implant in relation to the anatomical portion of the joint.","A system and method for revision orthopedic surgery integrates a hand-held, tracked imaging device with navigation-based implant registration. The system uses real-time radiation imaging from a detector fixed to a radiation source and tracked in six degrees of freedom to acquire intraoperative images of an existing orthopedic implant and surrounding bone and cement. A navigation module registers the patient’s existing implant as a reference structure, fuses the real-time images with preoperative or intraoperative planning data, and generates guidance for controlled removal of bone, bone cement, or prosthetic components. The guidance is provided to navigated, robotic, or articulating hand-held tools, enabling precise, minimally invasive revision and implantation procedures.","A surgical planning and navigation system is disclosed that integrates implant-based planning for total joint arthroplasty with a radiographic imaging device. The system includes an imaging apparatus configured to acquire radiographic data of a target joint and implanted fiducial or trial components, and processing circuitry configured to digitize anatomical and implant-related landmarks from the radiographic data. Using these landmarks, the processing circuitry generates a three-dimensional, implant-based surgical plan and registers the patient’s anatomy to the imaging coordinate system in real time. The combined system enables intraoperative adjustment of implant size, position, and orientation based on updated radiographic images to optimize joint alignment and function.",0.9217906622288097,0.9017714343296093,0.9130996463594772
JP-2016505326-A,US-9588583-B2,"1 The invention comprises a method for establishing a bone satchet relative to the surface of the body of the first osteotomy. The technique is achieved by cutting a portion of a bone satchet into the surface of the body of the first osteotomy. The insertion point of the insertion point is controlled by a coupling tool, which provides a positional adjustment of the insertion point relative to the surface of the body of the first osteotomy. The coupling tool provides a positional adjustment of the insertion point relative to the surface.","A system and method for computer-assisted osteotomy planning and execution integrates a virtual haptic environment with a physical fixation plate and bone cutting procedure. A computer generates a virtual model of a bone and associated fixation plate having first and second openings corresponding to first and second voids formed in the bone, and defines first and second subsets of haptic interaction primitives for simulating plate positioning and wedge-opening manipulation in respective haptic subspaces. During a simulated osteotomy, the system determines haptic forces in the first subspace to guide drilling and initial plate fixation, and determines haptic forces in the second subspace to guide relative movement of first and second bone cut surfaces until alignment of the second openings is achieved. The system further outputs real-time haptic feedback to a virtual tool to improve surgical accuracy and stability in translating the planned virtual cuts and plate placement to a physical procedure.","A system and method are provided for planning and performing osteotomy procedures with substantially stable haptic feedback. The system generates a three-dimensional surgical plan for bone cutting based on patient-specific anatomical data and simulates the intended osteotomy trajectory. A haptic interface device coupled to the planning and navigation module delivers stable, high-fidelity tactile and force cues to guide the surgeon’s tool along the planned cutting path while compensating for disturbances and hand tremor. The system thereby enhances surgical accuracy, reduces the risk of unintended bone removal, and improves reproducibility of osteotomy outcomes.",0.8858743222807725,0.8714471172787788,0.8844014480454617
US-10716630-B2,US-2014031664-A1,"An imaging system includes a radiation source formed to capture a photon of a radiation source, a handheld device disposed on a fixed surface, and a method of adjusting the position of the handheld device, a handheld device disposed on a fixed surface, and a navigation device disposed on the handheld device.","A system for performing implant revision surgery comprises a hand-held imaging device including a radiation source and a detector configured to acquire real-time image data of an implant-bone interface, and a navigation system configured to track a pose of the hand-held imaging device in physical space. A processor is configured to register the real-time image data with a three-dimensional model of the implant and bone, determine information related to an interface area between the implant component and the bone based on the registered data, and generate a planned virtual boundary associated with a portion of the interface area to be removed. A tracked cutting tool is correlated with a virtual tool in the three-dimensional model, and the processor is further configured to impose motion constraints on the cutting tool based on a relationship between the virtual tool and the planned virtual boundary. Removal of the portion of the interface area is guided by the motion constraints to facilitate separation and extraction of the implant component from the bone.","A system and method are provided for robotic-assisted surgical revision procedures utilizing integrated radiographic imaging. The system includes a radiographic imaging device configured to generate real-time or near real-time images of a target anatomical region and a robotic manipulator configured to perform revision tasks based on those images. A control unit registers the radiographic images with a pre-operative or intra-operative model and computes updated trajectories, constraints, and tool positions for the robotic system during the revision procedure. The integrated system enables automated or semi-automated guidance, verification, and adjustment of implant placement or hardware removal under continuous radiographic feedback.",0.8746684681566027,0.9033977984297135,0.9089392101227812
JP-2014531920-A,US-2014031664-A1,"1 An orthopaedic surgery device comprising a base unit is configured to generate an image of a patient's position relative to a target joint. The device comprises a control mechanism for adjusting the position of a target joint. The device comprises a control mechanism for adjusting the position of a target joint relative to a target joint. In addition, the invention permits the use of a plurality of optical probes, including a hand-held device and a computer-aided image processing system.","A system and method are provided for patient-specific joint repair that integrates handheld intraoperative imaging with customized surgical tools and implants. The system comprises a hand-held radiation-based imaging device with an associated navigation system configured to track its pose relative to a patient’s joint and to acquire real-time image data of a damaged or failed implant and surrounding anatomy. A planning module uses the image data to design or select patient-specific replacement implants and matching surgical instruments, and to generate a surgical plan for partial or total joint arthroplasty or revision. The navigation system further guides the customized tools during the procedure to optimize implant fit, alignment, and functional outcome.","A system and method for intraoperative radiographic planning and guidance of revision arthroplasty procedures is disclosed. The system comprises an imaging device configured to obtain real-time radiographic images of a joint region and a set of revision implants and tools configured for removal and replacement of existing joint arthroplasty components. The imaging device and revision tools are operatively integrated such that radiographic data is used to register the position, orientation, and fixation status of the implanted components and surrounding bone, and to guide tool placement, cutting paths, and implant sizing. In certain embodiments, the system provides automated or semi-automated image analysis to generate recommended revision plans and to verify implant positioning during and after the revision procedure.",0.8828857161583233,0.8905762660355301,0.8959950768651165
WO-2016089870-A1,US-9588583-B2,"A method of the invention relates to a computer-controlled system for generating a virtual haptic representation of a surgical procedure by using a combination of a simulated haptic model and a predetermined haptic model. The predetermined haptic model is then analyzed for morphological features, such as bone structure and joint surface area. Two methods of the invention are described for generating a virtual haptic representation of a surgical procedure by using a predetermined haptic model and adjusting a predetermined haptic model to a target.","A system and method for image-free, haptically guided orthopedic implant revision surgery are disclosed. A 3D model of a target bone is generated from predefined anatomical parameters and iteratively reshaped using surface points collected intraoperatively. A virtual surgical tool is associated with haptic interaction geometric primitives partitioned into a first subset defining stable guidance forces for gross bone preparation and a second subset defining fine correction forces in a different subspace corresponding to localized reshaping. The system computes and renders haptic forces from both subsets to provide substantially stable, multi-resolution tactile feedback while the surgeon modifies the bone to conform to the planned revision model.","A system and method are provided for performing image-free revision implant surgery using substantially stable haptics. The system includes a surgical instrument and a haptic interface configured to generate spatially bounded force-feedback fields corresponding to anatomical and implant reference data obtained without intraoperative imaging. A controller computes virtual constraints and safe operating regions based on preexisting implant geometry and intraoperative tracking, and applies haptic guidance forces to the instrument to assist the surgeon in accurately locating, modifying, or replacing the implant. The stable haptic feedback reduces unintended motion and improves precision and safety during revision procedures conducted without real-time imaging.",0.8891148264511792,0.883082993707528,0.8925975709541627
US-2012071893-A1,US-9588583-B2,A method for generating and adjusting a computer-based haptic simulation of a surgical intervention system is described. The method consists of determining the articulation of a surgical intervention system with respect to a predetermined articulation of a virtual device. One or more parameters of the virtual device are mapped to a predetermined articulation of a surgical intervention system. The user may use a tool to identify the articulation of a surgical intervention system by referring to a predetermined articulation of a virtual device and adjusting the rotational forces,"A system and method for robot-assisted orthopedic surgery provides substantially stable, multi-subspace haptic guidance during bone resection. Patient-specific anatomical data is acquired and used to generate a three-dimensional model of a target joint region and to determine a virtual resection volume defining a dynamic movement limit for a cutting tool. A haptic engine identifies first and second subsets of haptic interaction geometric primitives respectively corresponding to gross positioning and fine boundary control of the tool, and computes haptic forces in distinct haptic subspaces to guide tool motion within the virtual resection volume. The robotic system constrains tool movement in real time based on the computed multi-subspace haptic forces, thereby inhibiting motion outside the planned resection while maintaining stable and intuitive surgeon feedback.","A computer-assisted surgical system for femoral head reshaping is provided that integrates robotic guidance with substantially stable haptic feedback. The system includes a robotic manipulator configured to position and orient a bone-reshaping tool relative to a patient’s femoral head according to a preoperative plan, and a haptic interface configured to provide the surgeon with stable, bounded force feedback during manual refinement of the tool trajectory. A control module combines real-time imaging or tracking data with the robotic guidance parameters to generate safe virtual boundaries and haptic constraints that resist motion outside a planned resection volume. The integrated system enables precise bone removal while preserving surgeon tactile control and reducing the risk of over-resection or joint surface damage.",0.8867430387009617,0.8891401978065852,0.8837530580315689
US-2017172662-A1,EP-3679851-A1,"A surgical imaging system of the present invention includes a method for manipulating an image generated by a surgical instrument to provide a user with a guide to a surgical procedure. A computer-aided image processing tool detects the position of a surgical instrument at a focal point and transmits the image to the surgical instrument. The data generated by the surgical instrument are correlated with the image generated by the surgical instrument. During the operation, an end-to-end visual representation of the image is provided, and multiple images of the image are displayed in three-dimensional space.","A system and method are provided for real-time intra-operative 3D navigation that combines Q3D endoscopic imaging with multi-camera IR-based anatomical reconstruction. A patient’s anatomical region is scanned and integrated with reflected IR images from multiple instruments and external cameras to generate a dynamic, parallax-enhanced 3D model of the surgical scene. A processor registers and updates this model with Q3D endoscope data, identifies instruments and critical structures, and determines no-fly zones and predicted instrument paths relative to the reconstructed anatomy. The processor further provides a virtual field of view from any selected instrument or vantage point, enabling continuous 3D tracking and collision-avoidance guidance during surgical procedures.","A system and method are provided for enhanced three-dimensional endoscopic imaging that quantitatively visualizes surgical instruments within an augmented-parallax field of view. The system integrates stereoscopic or multi-view endoscopic image acquisition with real-time geometric calibration to determine precise 3D positions and orientations of instruments relative to anatomical structures. An augmented-parallax rendering engine adaptively modifies apparent depth cues and baseline disparities to amplify depth perception while maintaining metric accuracy of instrument localization. The resulting visualization enables improved spatial awareness, collision avoidance, and guidance for minimally invasive procedures.",0.9206744967146497,0.9052267136652535,0.8840438104711446
