link_row,node1,node2,ours_text,baseline_text
12,US-2018049821-A1,US-2008065110-A1,"An endoscopic surgical tool comprises a robot-operated manipulator arm with a coupling mechanism that allows the manipulator arm to move relative to a surgical instrument. The coupling mechanism allows the manipulator arm to be flexibly accessed by a surgical instrument. A drive shaft is attached to the manipulator arm. The assembly includes a handle for controlling the movement of a surgical instrument, and a first-in, first-out, and second-in, middle-in, and third-in device for removing tissue from a surgical instrument.","A novel robotic surgical system is proposed that integrates an advanced control system with a minimally invasive instrument equipped with a U-turn mechanism. This system employs a robotic arm controlled by sophisticated algorithms that monitor and adjust movement parameters in real-time, enhancing precision during minimally invasive procedures. The U-turn mechanism allows for efficient transmission of actuating forces around tight bends, facilitating dynamic movement of distal components, such as end effectors. By combining these technologies, the invention aims to improve the dexterity and responsiveness of robotic surgical tools, thereby enhancing surgical outcomes and reducing tissue trauma."
13,US-2017360509-A1,US-2014031664-A1,"A method for a patient undergoing orthopaedic surgery comprises a device for positioning and adjusting the anatomical portion of a bone implant in a joint. The device may be augmented with a computer-generated guidance system to generate a map of the anatomical portion of a bone implant. In addition, the invention includes methods for obtaining data from a multi-probe imaging system, such as a digital camera, which is used to identify the location of the implant in relation to the anatomical portion of the joint.","A novel integrated surgical navigation system that combines orthopedic surgical procedures with advanced imaging capabilities is disclosed. This system utilizes a hand-held imaging device equipped with a radiation source and a fixed detector to acquire real-time image data during orthopedic surgeries. By leveraging the patient's existing implant as a reference point, the system enhances the precision of bone and prosthesis removal processes, facilitating improved navigation and accuracy. The invention enables seamless integration of imaging and navigation, providing surgeons with enhanced tools for performing complex orthopedic interventions with greater efficiency and safety."
14,JP-2016505326-A,US-9588583-B2,"1 The invention comprises a method for establishing a bone satchet relative to the surface of the body of the first osteotomy. The technique is achieved by cutting a portion of a bone satchet into the surface of the body of the first osteotomy. The insertion point of the insertion point is controlled by a coupling tool, which provides a positional adjustment of the insertion point relative to the surface of the body of the first osteotomy. The coupling tool provides a positional adjustment of the insertion point relative to the surface.","A hybrid surgical system integrates advanced haptic feedback technology with a bone cutting method to enhance precision and control during orthopedic procedures. This system utilizes a computer interface that provides real-time haptic feedback based on the geometric primitives of the surgical tools, enabling surgeons to feel and manipulate the virtual tools as they align and secure a fixation plate to the bone. The combination of the haptic interaction system with the fixed plate method allows for improved accuracy in drilling holes and cutting bone, facilitating safer and more effective surgical interventions. Additionally, the system can adapt the haptic forces based on the surgical context, ensuring optimal performance tailored to specific anatomical challenges."
15,US-10716630-B2,US-2014031664-A1,"An imaging system includes a radiation source formed to capture a photon of a radiation source, a handheld device disposed on a fixed surface, and a method of adjusting the position of the handheld device, a handheld device disposed on a fixed surface, and a navigation device disposed on the handheld device.","A robotic-assisted surgical system integrates an advanced imaging device and navigation technology to enhance precision in revision surgeries involving implant removal. The system utilizes real-time imaging data acquired by a hand-held device to visualize the interface area between the implant and bone, facilitating accurate identification of the planned virtual boundary for tissue removal. By tracking the pose of the imaging device, the system correlates the cutting tool's movement with the virtual tool, ensuring that the removal process adheres strictly to the predetermined constraints, thereby improving surgical outcomes and minimizing patient trauma. This innovative approach synergizes surgical robotics and imaging technologies to refine the surgical workflow and enhance the accuracy of implant-related procedures."
16,JP-2014531920-A,US-2014031664-A1,"1 An orthopaedic surgery device comprising a base unit is configured to generate an image of a patient's position relative to a target joint. The device comprises a control mechanism for adjusting the position of a target joint. The device comprises a control mechanism for adjusting the position of a target joint relative to a target joint. In addition, the invention permits the use of a plurality of optical probes, including a hand-held device and a computer-aided image processing system.",本発明は、破損したインプラントを有する関節の修復を支援するための統合型イメージングおよびナビゲーションシステムを提供する。手持ち型イメージングデバイスにより、外科医は手術中にリアルタイムで関節の画像データを取得し、インプラントの正確な位置を把握することができる。このシステムは、患者ごとにカスタマイズ可能な外科用ツールと連携し、再置換手術の精度と効率を向上させることを目的としている。さらに、ナビゲーションシステムは、外科医が手術の各段階において最適なアプローチを選択できるよう支援し、患者の特異な解剖学的特徴に基づいた治療を実現する。
17,WO-2016089870-A1,US-9588583-B2,"A method of the invention relates to a computer-controlled system for generating a virtual haptic representation of a surgical procedure by using a combination of a simulated haptic model and a predetermined haptic model. The predetermined haptic model is then analyzed for morphological features, such as bone structure and joint surface area. Two methods of the invention are described for generating a virtual haptic representation of a surgical procedure by using a predetermined haptic model and adjusting a predetermined haptic model to a target.","A novel system for enhancing image-free implant revision surgery utilizing advanced haptic feedback technology is proposed. This system integrates a 3D modeling method for generating accurate representations of target bones with a haptic interface that provides real-time feedback during surgical planning and execution. By utilizing haptic interaction geometric primitives, the proposed invention enables surgeons to intuitively manipulate virtual tools, experiencing tactile sensations that correspond to the physical characteristics of the target anatomy. This synergy aims to improve precision in revision surgery while reducing reliance on imaging, ultimately enhancing patient outcomes."
18,US-2012071893-A1,US-9588583-B2,A method for generating and adjusting a computer-based haptic simulation of a surgical intervention system is described. The method consists of determining the articulation of a surgical intervention system with respect to a predetermined articulation of a virtual device. One or more parameters of the virtual device are mapped to a predetermined articulation of a surgical intervention system. The user may use a tool to identify the articulation of a surgical intervention system by referring to a predetermined articulation of a virtual device and adjusting the rotational forces,"A robotic-assisted surgical system that integrates advanced haptic feedback to enhance precision in hip surgeries for femoral acetabular impingement is disclosed. The system utilizes a three-dimensional model of the patient's anatomy to guide a cutting tool, while simultaneously employing stable haptic forces derived from distinct geometric primitives to provide real-time tactile feedback to the surgeon. This dual-layered approach allows for dynamic adjustment of cutting parameters based on haptic interactions, ensuring that the robotic tool operates within predefined limits and enhances the surgeon's dexterity and control during the procedure. The invention aims to improve surgical outcomes by bridging the gap between robotic guidance and tactile sensation in minimally invasive orthopedic surgeries."
19,US-2017172662-A1,EP-3679851-A1,"A surgical imaging system of the present invention includes a method for manipulating an image generated by a surgical instrument to provide a user with a guide to a surgical procedure. A computer-aided image processing tool detects the position of a surgical instrument at a focal point and transmits the image to the surgical instrument. The data generated by the surgical instrument are correlated with the image generated by the surgical instrument. During the operation, an end-to-end visual representation of the image is provided, and multiple images of the image are displayed in three-dimensional space.","A novel imaging and navigation system for minimally invasive surgical procedures is proposed, integrating advanced Q3D modeling with real-time intra-operative imaging. The system utilizes a Q3D endoscope to capture comprehensive spatial data while simultaneously employing a network of infrared cameras to gather reflected IR light, enhancing depth perception through parallax. By merging these two imaging modalities, the invention provides surgeons with a dynamic 3D model that includes critical anatomical structures and instruments, enabling precise navigation and real-time tracking of instruments within the surgical field. This technology aims to improve surgical outcomes by offering enhanced visualization and decision-making support during complex procedures."
20,US-2014194732-A1,US-2021289189-A1,"1 An operating room surgical tool system comprises a camera with a viewfinder, a camera with a viewfinder, a camera with a viewfinder, a camera with a viewfinder, a camera with a viewfinder, a camera with a viewfinder, a camera with a viewfinder, a camera with a viewfinder, a camera with a viewfinder, a camera with a viewfinder, and a camera with a viewfinder. 2 An end-axis position is performed to identify the position of a rotating instrument.","A novel surgical imaging and assistance system is proposed, integrating the high-accuracy three-dimensional shape measurement capabilities of Patent A's surgery assistance system with the stereoscopic imaging techniques of Patent B's optical imaging system. This advanced system combines retractable cameras and optical tracking sensors to obtain precise spatial data and utilizes multiple cameras, including a wide-field camera with path folding mirrors, to generate enhanced stereoscopic images of anatomical structures during surgical procedures. The processor will seamlessly integrate the three-dimensional images from the surgical assistance system with the stereoscopic images, providing surgeons with a comprehensive visual representation of the surgical field, thus improving accuracy and safety in minimally invasive surgeries."
21,US-9861271-B2,EP-3679851-A1,"One method relates to a surgical imaging system comprising a manipulating device, an endoscope, and a camera. The manipulating device generates an image of the anatomical position of a patient in a surgical procedure. The imaging system is augmented to provide a virtual image of the anatomical position of a patient in a surgical procedure. In addition, the image is analyzed for accuracy by a data acquisition process. The data acquisition process may be performed remotely from the imaging system, including the acquisition of three-dimensional images of the anatomical position of objects.","A novel system and method for enhanced intra-operative imaging and navigation during minimally invasive medical procedures combines motion tracking of an endoscope with real-time 3D imaging capabilities. This invention utilizes a dynamic tracking mechanism to monitor the endoscope's position in relation to moving target tissues, while simultaneously integrating parallax-based IR images captured by multiple cameras positioned around the surgical field. By correlating the endoscope's positional data with the integrated 3D image generated from the IR cameras, the system provides surgeons with an accurate and comprehensive view of anatomical structures, facilitating improved precision and decision-making during interventions. This technology aims to enhance the effectiveness of surgical procedures by offering real-time feedback on both the motion of target tissues and the surrounding anatomical context."
22,US-2017360512-A1,US-2020222205-A1,"A surgical instrument system comprises a robotic tool for manipulating a surgically performed joint and a guide device for adjusting the position of the surgically performed joint relative to the patient's body. The method includes a method of generating force to be applied to the surgically performed joint. The method includes a plurality of end-pieces, including a first-axis receptacle and a cutting device. The receptacle is positioned in a pre-determined position relative to the patient's body, and the cutting device is positioned in.","A robotic-assisted surgical system integrating an implant extraction tool designed for efficient removal of medical implants. The system incorporates a robotic controller to monitor the position and orientation of the extraction tool, enabling precise engagement with the implant while ensuring optimal soft tissue balance during the procedure. Utilizing real-time feedback from a tracking system, the robotic controller adjusts the extraction tool’s arms, which are equipped with a biasing mechanism, to facilitate one-handed operation for the surgeon. This combined technology enhances surgical accuracy and minimizes patient trauma during implant removal."
23,US-2017360512-A1,US-2010100102-A1,"A method is provided for manipulating a portion of a limb to determine the position of a joint relative to the first and second vertebral bones of the limb. The method includes a force sensor and a reversible alignment device. The force sensor is positioned at the proximal end of the limb, and the reversible alignment device is positioned at the distal end of the limb. The reversible alignment device is covered by a flexible plastic covering system comprising a plurality of movable structures, including a bone.","A robotic-assisted surgical system is proposed that integrates a tensor/ligament balancer with advanced robotic control mechanisms to enhance the precision of soft tissue balancing during orthopedic procedures. The system utilizes a robotic controller to dynamically adjust the position and orientation of the end effector while incorporating the tensor/ligament balancer to measure and maintain optimal gaps between anatomical structures. By combining real-time feedback from the robotic controller with the constant force application of the tensor/ligament balancer, the system offers improved accuracy in soft tissue alignment and stability, potentially leading to enhanced surgical outcomes. This innovative approach allows for automated adjustments and real-time visualization of soft tissue balance, streamlining complex surgical workflows."
24,US-10383765-B2,US-11344374-B2,"A method comprises a computer-aided robotic system for detecting and mapping the position of a patient during a surgical procedure. The system generates an image of a device based on the information provided by one or more sensors in the system. The system generates an image of a device based on the information provided by one or more sensors in the system. In addition, the system may be configured to display the orientation and orientation of a reference scene from a physical location to a three-dimensional perspective, and to display the orientation and orientation of a reference scene from a virtual location","A hybrid surgical navigation system that integrates a global coordinate system for robotic-assisted surgery with an advanced user interface utilizing inertial sensors to track and interpret the movements of surgical instruments in real-time. This system combines the three-dimensional patient eye model generated from optical coherence tomography with movement data from the user interface controllers to enhance precision during surgical procedures. By identifying and compensating for unintentional movements, the technology aims to improve patient safety and surgical outcomes, allowing for adaptive adjustments to the robotic system's actions based on real-time feedback. The invention provides a seamless interaction between robotic systems and surgical operators, facilitating safer and more effective surgeries."
25,US-10383765-B2,US-2022183779-A1,"A surgical apparatus comprises a surgical tool system for generating an image of a surgical instrument and a surgical tool system for manipulating a surgical instrument. The surgical tool system includes a method for determining the relative position of a surgical instrument and a surgical tool system. In addition, the method may be configured to allow a user to rotate the surgical instrument from one end to the other. The method may be configured to allow a user to remove a portion of the surgical instrument from the surgical tool system by means of a first-axis rotation and a third-axis rotation.","The invention relates to an advanced robotic surgical system that integrates a global coordinate system with a novel dual-blade retractor mechanism, enhancing precision in minimally invasive procedures. By utilizing the three-dimensional model generated from optical coherence tomography data, the system dynamically adjusts the orientation of the first and second blades to optimize access to the surgical site while ensuring patient safety through virtual boundaries. This coordinated approach allows for real-time adjustments during surgery, improving visibility and reducing the risk of inadvertent injury. Additionally, the synergy between the robotic-controlled coordinate system and the mechanically responsive retractor blades enhances the overall efficiency and effectiveness of robotic-assisted surgeries."
26,US-10383765-B2,US-2022101745-A1,"One or more methods of executing a surgical system are described, including the manipulation of a virtual object by a computer-aided robotic device to generate an anatomical image of a surgical scene. The system generates an image of the surgical scene based on the user's perception of the location and orientation of the surgical scene. In addition, the system provides a method for identifying and synchronizing a set of data from a sensor in the operating room to a set of data from a camera in the operating room.","A hybrid robotic surgical system that integrates a global coordinate system with a virtual reality interface to enhance precision in robotic-assisted surgeries. This system utilizes kinematic data and optical coherence tomography to create a detailed three-dimensional model of the patient's anatomy, while simultaneously enabling surgeons to interact with a virtual robotic environment. Surgeons can manipulate virtual robotic components in real-time, with the system translating their inputs into commands that control physical robotic instruments, ensuring improved accuracy and safety during procedures. The incorporation of a virtual boundary feature further safeguards against inadvertent patient injury, providing an advanced platform for training and performing complex surgical tasks."
27,US-2017258526-A1,US-2019275323-A1,"A method of the present invention relates to providing an electrically actuated device for a surgical procedure to be implanted in a patient's body. The device includes at least one implantable imaging system, a display device, and an input/output device. The display device and the input/output device are configured to monitor the patient's physiological characteristics, such as sensitivity, temperature, and focal length, by a combination of a signal processing device and a signal processing device.","A novel surgical system is proposed that integrates an optical head mounted display with an advanced electrical stimulation system to enhance surgical precision and outcomes. The system utilizes real-time visual guidance from the optical display to provide surgeons with accurate positioning and orientation while delivering targeted electrical stimulation to tissues via a capacitive discharge electrode. This dual functionality allows for improved visualization of anatomical structures and facilitates precise modulation of tissue response during minimally invasive procedures. The invention aims to optimize surgical interventions by combining visual analytics with responsive stimulation, thereby enhancing procedural efficacy and patient safety."
28,US-2017258526-A1,WO-2013132501-A1,"This invention relates to a surgical imaging device comprising a method for displaying an image of a patient during a surgical procedure, a technique for manipulating an image of a patient, and an endoscope for guiding the image of a patient to a desired location. In addition, the apparatus may be accessed from a computer-based system comprising a positional camera, a positional camera, a positional camera, a positional camera, a positional camera, a positional camera and a positional camera.","The invention relates to an integrated surgical system that combines a head-mounted display with advanced endoscope maneuvering capabilities. This system provides real-time visual guidance during surgical procedures by overlaying critical information onto the surgeon's field of view, utilizing data from a maneuverable endoscope that captures live images within a body cavity. The technology enables precise control of the endoscope's movement through intuitive user commands, enhancing the surgeon's ability to navigate and perform complex procedures with improved accuracy and safety. Additionally, the system incorporates data processing algorithms to optimize the interaction between the visual display and the endoscope's positioning, facilitating seamless surgical workflows."
29,US-2013211792-A1,US-9655683-B2,"A method for providing guidance to a user of a virtual anatomical implant device involves generating a virtual anatomical representation of a target anatomical position in relation to a computer-generated haptic parameter. The haptic parameter is mapped to a virtual anatomical representation of a target anatomical position in relation to a computer-generated haptic parameter. One or more of the methods described in the present invention are applied to a virtual anatomical implant device, allowing the user to adjust the positioning of the device and adjusting the orientation.","A hybrid system for personalized surgical guidance integrates patient-specific haptic boundaries with real-time instrument orientation tracking. The system identifies anatomical features of a patient and generates a customized haptic boundary that adapts dynamically based on the orientation angle of a surgical instrument relative to the target anatomy. This dual-layered approach enhances the precision of surgical interventions by providing tactile feedback that constrains instrument movement, preventing unintended deviations while accommodating unique anatomical variations. The invention aims to improve surgical outcomes by ensuring that instruments remain within safe operational parameters tailored to individual patient anatomy."
30,US-11484368-B2,US-2019133791-A1,A computer-based surgical method is disclosed for obtaining a bone plan for a prosthetic implant in a patient's arthroscopic surgery. The method includes tools for manipulating the articular surface of a prosthetic implant and adjusting the relative positioning of the articular surface of a prosthetic implant. The method also includes a tool system for determining the alignment of the articular surface of a prosthetic implant and adjusting the relative positioning of the articular surface of a prosthetic implant. These components may be used in the preparation of a surgery.,"A hybrid robotic-assisted system for intraoperative arthroplasty procedures that integrates real-time tracking of surgical tools and patient anatomy, utilizing both virtual boundaries and density data of bone. The system employs a tracked probe to capture interface positions between existing implants and bone, generating virtual boundaries for safe removal of primary implant components. Additionally, it incorporates a guidance station that adjusts the surgical tool's movements based on the tracked positions and virtual boundaries, ensuring precise preparation of bone for new implant placement while optimizing the interface area for improved implant integration. This technology enhances surgical efficiency and accuracy, reducing reliance on pre-operative imaging while facilitating complex arthroplasty revisions and primary implant installations."
31,US-2015057756-A1,US-2008056433-A1,"A method is disclosed for creating bone-based orthopaedic implants for the proximal part of the femur joint. In addition, the method includes a system of repositioning a bone-based orthopaedic implant into the proximal part of the femur joint. The methods are characterized by a first and second scan of the articular surface of the bone and a second and third scan of the articular surface of the bone. In addition, measurements of the articular surface of the bone are used to guide the procedure","The proposed invention relates to an advanced orthopedic surgical system that integrates patient-specific joint arthroplasty with enhanced imaging techniques for pelvic alignment. This system utilizes real-time x-ray imaging to accurately determine the frontal pelvic plane, allowing for precise placement of joint implants tailored to the individual anatomy of the patient. By combining the adaptive implant components and intraoperative kinematic optimization from Patent A with the pelvic localization methods outlined in Patent B, the invention aims to improve surgical outcomes and reduce recovery times through optimized joint functionality and alignment. The technology provides surgeons with real-time feedback and adjustments during procedures, ensuring optimal implant fit and joint mechanics."
32,US-2015057756-A1,US-10813715-B1,"The disclosed methods include a device for generating an orthopaedic representation of a patient's body during an arthroplasty procedure. In addition, the disclosed methods include a system for generating an orthopaedic representation of a patient's body during an arthroplasty procedure. In particular, a series of computer-aided devices are incorporated into a device for the purpose of measuring, adjusting, and prioritizing the orientation of two or more articular planes of a patient's body, based on three-dimensional imaging data.","A novel system and method for personalized joint arthroplasty utilizing 3D body modeling technology is disclosed. This invention integrates a 2D imaging process with accelerometer data to create an accurate 3D representation of a patient's body, enabling the precise design and customization of patient-adapted implant components for joint surgery. The 3D model not only allows for optimized preoperative planning and intraoperative measurements but also facilitates remote collaboration with medical professionals and manufacturers for enhanced implant fitting. Additionally, the technology includes a user-friendly interface for patients to visualize the surgical outcome and provide feedback on their unique anatomical requirements, ensuring improved surgical results and patient satisfaction."
