id,type,prospective_value
US-4706670-A,existing,1
US-4708139-A,existing,1
US-4713077-A,existing,1
US-4716901-A,existing,1
US-4718909-A,existing,1
US-4722948-A,existing,1
US-4722331-A,existing,1
US-4724584-A,existing,1
US-4738255-A,existing,1
US-4739751-A,existing,1
US-4741330-A,existing,1
US-4749585-A,existing,1
US-4750492-A,existing,1
US-4768507-A,existing,1
US-4772286-A,existing,1
US-4776738-A,existing,1
US-4776328-A,existing,1
US-4776851-A,existing,1
US-4781182-A,existing,1
US-4790303-A,existing,1
US-4792336-A,existing,1
DE-3722538-A1,existing,1
US-4817591-A,existing,1
US-4822224-A,existing,1
US-4823794-A,existing,1
US-4832026-A,existing,1
US-4832025-A,existing,1
US-4834752-A,existing,1
US-4841960-A,existing,1
US-4843112-A,existing,1
US-4846812-A,existing,1
US-4862812-A,existing,1
US-4862882-A,existing,1
US-4869242-A,existing,1
US-4870957-A,existing,1
US-4883048-A,existing,1
US-4890612-A,existing,1
US-4895148-A,existing,1
US-4898156-A,existing,1
US-4899744-A,existing,1
US-4899729-A,existing,1
US-4899743-A,existing,1
US-4901721-A,existing,1
US-4921479-A,existing,1
US-4922897-A,existing,1
US-4924865-A,existing,1
US-4924866-A,existing,1
US-4932960-A,existing,1
US-4935028-A,existing,1
US-4935026-A,existing,1
US-4945625-A,existing,1
US-4946468-A,existing,1
US-4954126-A,existing,1
US-4955910-A,existing,1
US-4957498-A,existing,1
US-4961741-A,existing,1
US-4963151-A,existing,1
US-4964862-A,existing,1
US-4966583-A,existing,1
US-4968315-A,existing,1
US-4969888-A,existing,1
US-4969892-A,existing,1
DE-9002844-U1,existing,1
US-4979949-A,existing,1
US-4990161-A,existing,1
US-4994071-A,existing,1
US-4997445-A,existing,1
US-4998539-A,existing,1
US-5002563-A,existing,1
US-5002550-A,existing,1
US-5009663-A,existing,1
US-5009652-A,existing,1
US-5009664-A,existing,1
US-5013316-A,existing,1
US-5019090-A,existing,1
US-5021059-A,existing,1
US-5031841-A,existing,1
US-5035713-A,existing,1
US-5037404-A,existing,1
US-5037422-A,existing,1
US-5041093-A,existing,1
US-5041129-A,existing,1
US-5041114-A,existing,1
WO-9112779-A1,existing,1
US-5047055-A,existing,1
US-5046513-A,existing,1
US-5051049-A,existing,1
US-5053047-A,existing,1
US-5053046-A,existing,1
US-5059193-A,existing,1
US-5059206-A,existing,1
US-5061286-A,existing,1
US-5061274-A,existing,1
US-5069674-A,existing,1
US-5078745-A,existing,1
US-5078731-A,existing,1
US-5078744-A,existing,1
US-5078140-A,existing,1
US-5084050-A,existing,1
US-5084051-A,existing,1
US-5085660-A,existing,1
US-5085661-A,existing,1
US-5086401-A,existing,1
US-5090072-A,existing,1
US-5098434-A,existing,1
US-5098433-A,existing,1
US-5098436-A,existing,1
US-5100417-A,existing,1
US-5100405-A,existing,1
US-5102417-A,existing,1
US-5102421-A,existing,1
US-5120175-A,existing,1
US-5123941-A,existing,1
US-5123520-A,existing,1
US-5123914-A,existing,1
US-5133732-A,existing,1
US-RE34021-E,existing,1
US-5141520-A,existing,1
US-5147362-A,existing,1
US-5152765-A,existing,1
US-5154720-A,existing,1
US-5156613-A,existing,1
US-5156616-A,existing,1
US-5158934-A,existing,1
US-5158566-A,existing,1
US-5163960-A,existing,1
US-5171251-A,existing,1
US-5176682-A,existing,1
US-5180388-A,existing,1
US-5179964-A,existing,1
US-5183464-A,existing,1
US-5192287-A,existing,1
US-5192326-A,existing,1
US-5197166-A,existing,1
US-5197971-A,existing,1
US-5203784-A,existing,1
US-5203787-A,existing,1
US-5209776-A,existing,1
US-5208950-A,existing,1
US-5217493-A,existing,1
US-5217486-A,existing,1
US-5219359-A,existing,1
US-5224946-A,existing,1
US-5226899-A,existing,1
US-5230352-A,existing,1
US-5234425-A,existing,1
US-5234006-A,existing,1
US-5236438-A,existing,1
US-5236445-A,existing,1
US-5242902-A,existing,1
US-5246441-A,existing,1
US-5250026-A,existing,1
US-5250055-A,existing,1
US-5254113-A,existing,1
US-5258007-A,existing,1
US-5258016-A,existing,1
US-5258015-A,existing,1
US-5261914-A,existing,1
WO-9323094-A1,existing,1
US-5266325-A,existing,1
US-5269809-A,existing,1
US-5269785-A,existing,1
US-5269783-A,existing,1
US-5281235-A,existing,1
US-5282832-A,existing,1
US-5290281-A,existing,1
FR-2696338-A1,existing,1
US-5304119-A,existing,1
US-5306280-A,existing,1
US-5306301-A,existing,1
WO-9408642-A1,existing,1
US-5312438-A,existing,1
US-5315741-A,existing,1
US-5318588-A,existing,1
US-5320611-A,existing,1
US-5324308-A,existing,1
US-5328480-A,existing,1
US-5329846-A,existing,1
US-5330468-A,existing,1
US-5330476-A,existing,1
US-5329924-A,existing,1
US-5330486-A,existing,1
US-5336240-A,existing,1
US-5336231-A,existing,1
US-5339799-A,existing,1
US-5343385-A,existing,1
US-5349956-A,existing,1
US-5352229-A,existing,1
US-5354298-A,existing,1
US-5354302-A,existing,1
US-5366480-A,existing,1
US-5370646-A,existing,1
US-5370660-A,existing,1
US-5372146-A,existing,1
US-5374235-A,existing,1
US-5376126-A,existing,1
US-5382254-A,existing,1
US-5383905-A,existing,1
US-5383883-A,existing,1
US-5391171-A,existing,1
US-5391173-A,existing,1
US-5395308-A,existing,1
US-5397311-A,existing,1
US-5400805-A,existing,1
US-5403348-A,existing,1
US-5403312-A,existing,1
US-5402801-A,existing,1
US-5405359-A,existing,1
US-5411538-A,existing,1
US-5411523-A,existing,1
US-5413585-A,existing,1
US-5417701-A,existing,1
US-5417712-A,existing,1
US-5417691-A,existing,1
US-5423796-A,existing,1
US-5423860-A,existing,1
WO-9516398-A1,existing,1
US-5431670-A,existing,1
US-5439470-A,existing,1
US-5438746-A,existing,1
US-5441502-A,existing,1
US-5441538-A,existing,1
US-5443512-A,existing,1
US-5447503-A,existing,1
US-5449382-A,existing,1
US-5449372-A,existing,1
US-5451235-A,existing,1
FR-2717368-A1,existing,1
US-5453090-A,existing,1
US-5456722-A,existing,1
US-5458653-A,existing,1
US-5462561-A,existing,1
US-5464424-A,existing,1
US-5464426-A,existing,1
US-5464427-A,existing,1
US-5464425-A,existing,1
US-5467911-A,existing,1
US-5470337-A,existing,1
WO-9531941-A1,existing,1
US-5472444-A,existing,1
US-5474554-A,existing,1
US-5478351-A,existing,1
US-5478353-A,existing,1
US-5480403-A,existing,1
US-5486197-A,existing,1
US-5487844-A,existing,1
US-5487216-A,existing,1
US-5488958-A,existing,1
US-5496348-A,existing,1
US-5496292-A,existing,1
US-5496335-A,existing,1
US-5500000-A,existing,1
US-5501700-A,existing,1
US-5505735-A,existing,1
US-5504977-A,existing,1
US-5507754-A,existing,1
US-5514153-A,existing,1
US-5518164-A,existing,1
US-5518163-A,existing,1
WO-9614802-A1,existing,1
US-4954126-B1,existing,1
US-5520700-A,existing,1
US-5522846-A,existing,1
US-5522845-A,existing,1
US-5522844-A,existing,1
JP-H08140982-A,existing,1
US-5527342-A,existing,1
US-5527341-A,existing,1
US-5527343-A,existing,1
US-5529075-A,existing,1
US-5528844-A,existing,1
US-5531759-A,existing,1
FR-2728779-A1,existing,1
US-5534028-A,existing,1
US-5534012-A,existing,1
US-5540718-A,existing,1
US-5540703-A,existing,1
US-5542423-A,existing,1
US-5545178-A,existing,1
US-5545206-A,existing,1
US-5545180-A,existing,1
US-5549631-A,existing,1
US-5549630-A,existing,1
US-5556402-A,existing,1
US-5562688-A,existing,1
US-5569305-A,existing,1
US-5569252-A,existing,1
US-5569306-A,existing,1
US-5573517-A,existing,1
US-5573542-A,existing,1
US-5573538-A,existing,1
US-5575801-A,existing,1
US-5580344-A,existing,1
US-5584835-A,existing,1
US-5584862-A,existing,1
US-5584860-A,existing,1
US-5591206-A,existing,1
FR-2736257-A1,existing,1
US-5593422-A,existing,1
US-5593425-A,existing,1
US-5593625-A,existing,1
US-5601558-A,existing,1
US-5601595-A,existing,1
US-5601557-A,existing,1
US-5607427-A,existing,1
US-5609595-A,existing,1
US-5618314-A,existing,1
WO-9712779-A1,existing,1
US-5620461-A,existing,1
GB-2306110-A,existing,1
US-5626718-A,existing,1
US-5626614-A,existing,1
US-5626612-A,existing,1
US-5628756-A,existing,1
US-5628446-A,existing,1
US-5628751-A,existing,1
EP-0773004-A1,existing,1
US-5630824-A,existing,1
US-5634926-A,existing,1
US-5643293-A,existing,1
US-5643295-A,existing,1
US-5643321-A,existing,1
US-5643274-A,existing,1
US-5643320-A,existing,1
US-5643272-A,existing,1
US-5645553-A,existing,1
US-5645597-A,existing,1
US-5645599-A,existing,1
US-5649963-A,existing,1
US-5649940-A,existing,1
US-5649955-A,existing,1
EP-0784454-A1,existing,1
US-5651377-A,existing,1
US-5658313-A,existing,1
US-5660225-A,existing,1
US-5662658-A,existing,1
US-5665089-A,existing,1
US-5665112-A,existing,1
US-5665109-A,existing,1
US-5667513-A,existing,1
US-5669917-A,existing,1
US-5674240-A,existing,1
US-5681351-A,existing,1
US-5681352-A,existing,1
US-5681310-A,existing,1
US-5680981-A,existing,1
US-5681333-A,existing,1
US-5682886-A,existing,1
US-5683418-A,existing,1
US-5683401-A,existing,1
US-5685820-A,existing,1
US-5688283-A,existing,1
US-5690674-A,existing,1
US-5690655-A,existing,1
US-5690676-A,existing,1
US-5690654-A,existing,1
US-5693055-A,existing,1
US-5697950-A,existing,1
FR-2750031-A1,existing,1
US-5702462-A,existing,1
US-5702397-A,existing,1
WO-9749347-A1,existing,1
US-5707395-A,existing,1
US-5713921-A,existing,1
US-5713903-A,existing,1
US-5718717-A,existing,1
US-5720747-A,existing,1
US-5720753-A,existing,1
US-5725556-A,existing,1
US-5725582-A,existing,1
US-5725529-A,existing,1
US-5725541-A,existing,1
US-5730747-A,existing,1
WO-9811838-A1,existing,1
US-5733306-A,existing,1
US-5735875-A,existing,1
US-5735877-A,existing,1
US-5735899-A,existing,1
US-5741282-A,existing,1
US-5741268-A,existing,1
US-5743915-A,existing,1
US-5748767-A,existing,1
US-5752974-A,existing,1
US-5752952-A,existing,1
US-5755809-A,existing,1
US-5762458-A,existing,1
US-5766126-A,existing,1
US-5766221-A,existing,1
US-5769092-A,existing,1
US-5769894-A,existing,1
WO-9826720-A1,existing,1
US-5772672-A,existing,1
US-5776151-A,existing,1
US-5776136-A,existing,1
US-5779706-A,existing,1
US-5779719-A,existing,1
US-5782862-A,existing,1
US-5785713-A,existing,1
US-5792096-A,existing,1
US-5797931-A,existing,1
US-5797963-A,existing,1
US-5800537-A,existing,1
US-5806518-A,existing,1
US-5807403-A,existing,1
US-5810849-A,existing,1
US-5810884-A,existing,1
US-5810853-A,existing,1
US-5814072-A,existing,1
US-5814073-A,existing,1
US-5817107-A,existing,1
US-5823994-A,existing,1
US-5824085-A,existing,1
US-5824009-A,existing,1
US-5830125-A,existing,1
US-5836897-A,existing,1
US-5839899-A,existing,1
US-5844142-A,existing,1
US-5843178-A,existing,1
US-5847394-A,existing,1
US-5845645-A,existing,1
US-5851185-A,existing,1
US-5855583-A,existing,1
US-5865834-A,existing,1
US-5865728-A,existing,1
US-5866634-A,existing,1
US-5868749-A,existing,1
US-5873891-A,existing,1
US-5873212-A,existing,1
US-5874235-A,existing,1
US-5876325-A,existing,1
US-5879371-A,existing,1
US-5879372-A,existing,1
US-5891168-A,existing,1
US-5891166-A,existing,1
US-5893880-A,existing,1
US-5897574-A,existing,1
US-5899911-A,existing,1
US-5899921-A,existing,1
US-5906579-A,existing,1
US-5906625-A,existing,1
US-5908429-A,existing,1
FR-2771621-A1,existing,1
US-5911721-A,existing,1
US-5911449-A,existing,1
US-5915751-A,existing,1
US-5919208-A,existing,1
US-5919215-A,existing,1
US-5919194-A,existing,1
US-5918604-A,existing,1
US-5919193-A,existing,1
US-5921986-A,existing,1
US-5924976-A,existing,1
US-5925064-A,existing,1
US-5928267-A,existing,1
US-5928244-A,existing,1
US-5931869-A,existing,1
US-5931838-A,existing,1
US-5937504-A,existing,1
US-5940942-A,existing,1
US-5941900-A,existing,1
US-5941901-A,existing,1
US-5945002-A,existing,1
US-5948000-A,existing,1
US-5948001-A,existing,1
US-5947982-A,existing,1
US-5948002-A,existing,1
US-5951590-A,existing,1
US-5956927-A,existing,1
US-5957953-A,existing,1
US-5961554-A,existing,1
US-5961538-A,existing,1
US-5961499-A,existing,1
US-5961521-A,existing,1
US-5964075-A,existing,1
US-5964765-A,existing,1
US-5964769-A,existing,1
US-5967970-A,existing,1
US-5968046-A,existing,1
US-5968047-A,existing,1
US-5970686-A,existing,1
US-5976156-A,existing,1
US-5980520-A,existing,1
US-5980559-A,existing,1
US-5980558-A,existing,1
US-5983601-A,existing,1
US-5984929-A,existing,1
US-5987848-A,existing,1
US-5989282-A,existing,1
US-5993458-A,existing,1
US-5993477-A,existing,1
US-6007580-A,existing,1
US-6007567-A,existing,1
US-6010525-A,existing,1
US-6010526-A,existing,1
US-6012216-A,existing,1
US-6014851-A,existing,1
US-6017321-A,existing,1
US-6033430-A,existing,1
US-6033415-A,existing,1
US-6032343-A,existing,1
US-6033429-A,existing,1
US-6045551-A,existing,1
US-6050998-A,existing,1
US-6056772-A,existing,1
US-6056751-A,existing,1
US-6056773-A,existing,1
FR-2785171-A1,existing,1
US-6059817-A,existing,1
US-6059827-A,existing,1
US-6059797-A,existing,1
US-6063095-A,existing,1
US-6066166-A,existing,1
US-6066151-A,existing,1
US-6066160-A,existing,1
US-6068648-A,existing,1
US-6068637-A,existing,1
US-6074409-A,existing,1
US-6077277-A,existing,1
US-6077292-A,existing,1
US-6080161-A,existing,1
US-6083522-A,existing,1
US-6083244-A,existing,1
US-6081981-A,existing,1
US-6086593-A,existing,1
US-6086608-A,existing,1
US-6090072-A,existing,1
US-6099537-A,existing,1
US-6099531-A,existing,1
US-6099550-A,existing,1
US-6099547-A,existing,1
US-6099552-A,existing,1
US-6102850-A,existing,1
US-6106545-A,existing,1
US-6117160-A,existing,1
US-6120536-A,existing,1
US-6125574-A,existing,1
US-6126677-A,existing,1
US-6132368-A,existing,1
US-6139320-A,existing,1
US-6149658-A,existing,1
US-6149669-A,existing,1
US-RE36974-E,existing,1
US-6152949-A,existing,1
US-6155756-A,existing,1
US-6159234-A,existing,1
US-6159224-A,existing,1
US-6171307-B1,existing,1
US-6174324-B1,existing,1
US-6179850-B1,existing,1
US-6179840-B1,existing,1
US-6187008-B1,existing,1
US-6190401-B1,existing,1
US-6190400-B1,existing,1
US-6200329-B1,existing,1
US-6200322-B1,existing,1
US-6205411-B1,existing,1
US-6205748-B1,existing,1
US-6217591-B1,existing,1
US-6224593-B1,existing,1
US-6224630-B1,existing,1
US-6228086-B1,existing,1
US-6231565-B1,existing,1
US-6231592-B1,existing,1
US-6238395-B1,existing,1
US-6238396-B1,existing,1
US-2001002440-A1,existing,1
US-6241749-B1,existing,1
US-6246200-B1,existing,1
US-2001005975-A1,existing,1
US-6258091-B1,existing,1
US-6264675-B1,existing,1
US-6263558-B1,existing,1
US-2001009250-A1,existing,1
US-6267761-B1,existing,1
US-6273717-B1,existing,1
US-6280474-B1,existing,1
US-6286746-B1,existing,1
US-6287325-B1,existing,1
US-6293961-B2,existing,1
US-6306159-B1,existing,1
US-6309405-B1,existing,1
US-6312448-B1,existing,1
US-2001041916-A1,existing,1
US-6319252-B1,existing,1
US-6319271-B1,existing,1
US-6322567-B1,existing,1
US-6327491-B1,existing,1
US-2001049497-A1,existing,1
US-6331181-B1,existing,1
US-6338730-B1,existing,1
US-6340365-B2,existing,1
US-2002016633-A1,existing,1
US-2002016593-A1,existing,1
US-2002019649-A1,existing,1
US-6348056-B1,existing,1
US-2002026244-A1,existing,1
US-2002029083-A1,existing,1
US-2002029084-A1,existing,1
US-6358271-B1,existing,1
US-2002038118-A1,existing,1
US-6364897-B1,existing,1
US-6368326-B1,existing,1
US-6368343-B1,existing,1
US-6368325-B1,existing,1
US-6371957-B1,existing,1
US-2002045902-A1,existing,1
US-2002045888-A1,existing,1
US-2002049449-A1,existing,1
US-6385475-B1,existing,1
US-2002062153-A1,existing,1
US-2002062136-A1,existing,1
US-6395007-B1,existing,1
US-6409742-B1,existing,1
US-6409743-B1,existing,1
US-2002082612-A1,existing,1
US-2002087169-A1,existing,1
US-2002087049-A1,existing,1
US-2002087148-A1,existing,1
US-2002087048-A1,existing,1
US-2002087166-A1,existing,1
WO-02053011-A2,existing,1
US-6419704-B1,existing,1
US-2002095175-A1,existing,1
US-6423072-B1,existing,1
US-6423088-B1,existing,1
US-6425919-B1,existing,1
US-2002103495-A1,existing,1
US-6430434-B1,existing,1
US-6428562-B2,existing,1
US-6432115-B1,existing,1
US-6436107-B1,existing,1
US-2002115934-A1,existing,1
US-2002120252-A1,existing,1
US-2002123750-A1,existing,1
US-6447550-B1,existing,1
US-6447516-B1,existing,1
US-2002128662-A1,existing,1
US-2002128633-A1,existing,1
US-2002128661-A1,existing,1
US-6451027-B1,existing,1
US-6450985-B1,existing,1
US-2002133174-A1,existing,1
US-2002133173-A1,existing,1
US-2002133175-A1,existing,1
US-2002138082-A1,existing,1
US-2002138109-A1,existing,1
US-2002143319-A1,existing,1
US-6461360-B1,existing,1
US-6468265-B1,existing,1
US-6468293-B2,existing,1
US-6471715-B1,existing,1
US-6475230-B1,existing,1
US-6488196-B1,existing,1
US-2002183851-A1,existing,1
US-2002183762-A1,existing,1
US-2002188301-A1,existing,1
US-6496003-B1,existing,1
US-6500195-B2,existing,1
US-6503259-B2,existing,1
US-2003014064-A1,existing,1
US-2003028196-A1,existing,1
US-2003040758-A1,existing,1
US-2003039196-A1,existing,1
US-6527774-B2,existing,1
US-2003045900-A1,existing,1
US-6530933-B1,existing,1
US-6535764-B2,existing,1
US-6533818-B1,existing,1
US-6533157-B1,existing,1
US-2003055409-A1,existing,1
US-2003060927-A1,existing,1
US-2003065361-A1,existing,1
US-6545909-B2,existing,1
US-6544267-B1,existing,1
US-2003069591-A1,existing,1
US-6547792-B1,existing,1
US-6551304-B1,existing,1
US-6554852-B1,existing,1
US-6558390-B2,existing,1
US-6557426-B2,existing,1
US-6562043-B1,existing,1
US-6565554-B1,existing,1
US-6569187-B1,existing,1
US-6568313-B2,existing,1
US-6569167-B1,existing,1
US-6572635-B1,existing,1
US-2003105474-A1,existing,1
US-2003118518-A1,existing,1
US-6585746-B2,existing,1
US-6585764-B2,existing,1
US-6585750-B2,existing,1
US-2003125808-A1,existing,1
US-6594517-B1,existing,1
US-6592609-B1,existing,1
US-2003135204-A1,existing,1
US-D477776-S,existing,1
US-6605090-B1,existing,1
US-2003153978-A1,existing,1
US-2003158582-A1,existing,1
US-6610080-B2,existing,1
US-2003167072-A1,existing,1
US-6618910-B1,existing,1
US-2003176783-A1,existing,1
US-6623487-B1,existing,1
US-6623486-B1,existing,1
US-2003181800-A1,existing,1
US-6626944-B1,existing,1
US-6632245-B2,existing,1
US-2003195530-A1,existing,1
US-2003195565-A1,existing,1
US-6635073-B2,existing,1
US-6638279-B2,existing,1
US-2003204204-A1,existing,1
US-6641592-B1,existing,1
US-6645227-B2,existing,1
US-2003212403-A1,existing,1
US-2003216669-A1,existing,1
US-2003216742-A1,existing,1
US-2003225438-A1,existing,1
US-2003229361-A1,existing,1
US-6666877-B2,existing,1
US-6669705-B2,existing,1
US-6676669-B2,existing,1
US-2004010287-A1,existing,1
US-6679888-B2,existing,1
US-6685750-B1,existing,1
US-2004030341-A1,existing,1
US-2004034282-A1,existing,1
US-2004034357-A1,existing,1
US-6699240-B2,existing,1
US-6699177-B1,existing,1
US-6702821-B2,existing,1
US-6705179-B1,existing,1
US-6709457-B1,existing,1
US-6714841-B1,existing,1
US-6712828-B2,existing,1
US-6719765-B2,existing,1
US-6719797-B1,existing,1
US-6722552-B2,existing,1
US-6731988-B1,existing,1
US-6733531-B1,existing,1
US-6733506-B1,existing,1
US-2004097948-A1,existing,1
US-2004097939-A1,existing,1
US-2004098050-A1,existing,1
US-2004102804-A1,existing,1
US-2004106916-A1,existing,1
US-2004138703-A1,existing,1
US-6764514-B1,existing,1
US-2004143334-A1,existing,1
US-6770078-B2,existing,1
US-6770079-B2,existing,1
US-2004152970-A1,existing,1
US-2004157188-A1,existing,1
US-6780198-B1,existing,1
US-2004167548-A1,existing,1
US-6783524-B2,existing,1
US-6786989-B2,existing,1
US-6796003-B1,existing,1
US-6799065-B1,existing,1
US-2004199072-A1,existing,1
US-2004220616-A1,existing,1
US-2004225325-A1,existing,1
US-6818010-B2,existing,1
US-2004230223-A1,existing,1
US-2004236424-A1,existing,1
US-2004236374-A1,existing,1
US-6823871-B2,existing,1
US-2004243109-A1,existing,1
US-6827712-B2,existing,1
US-2004267242-A1,existing,1
US-6837892-B2,existing,1
US-6840938-B1,existing,1
US-6843403-B2,existing,1
US-2005033366-A1,existing,1
US-2005038514-A1,existing,1
US-2005043796-A1,existing,1
US-6860885-B2,existing,1
US-6860878-B2,existing,1
US-6869437-B1,existing,1
US-2005071012-A1,existing,1
US-6878167-B2,existing,1
US-6884264-B2,existing,1
US-2005090827-A1,existing,1
US-2005090840-A1,existing,1
US-2005096699-A1,existing,1
US-6890334-B2,existing,1
US-6893434-B2,existing,1
US-2005113928-A1,existing,1
US-2005113846-A1,existing,1
US-6899722-B2,existing,1
US-2005126680-A1,existing,1
US-2005143826-A1,existing,1
US-6913666-B1,existing,1
US-2005149024-A1,existing,1
US-2005149029-A1,existing,1
US-6916321-B2,existing,1
US-6921264-B2,existing,1
US-6923824-B2,existing,1
US-2005177169-A1,existing,1
US-6932835-B2,existing,1
US-2005192673-A1,existing,1
US-6944111-B2,existing,1
US-6942684-B2,existing,1
US-2005203521-A1,existing,1
US-2005216059-A1,existing,1
US-2005216087-A1,existing,1
US-6951535-B2,existing,1
US-2005222620-A1,existing,1
US-6955683-B2,existing,1
US-6955540-B2,existing,1
US-2005234332-A1,existing,1
US-2005234461-A1,existing,1
US-2005234465-A1,existing,1
US-6958077-B2,existing,1
US-2005240190-A1,existing,1
US-2005240227-A1,existing,1
US-2005246021-A1,existing,1
US-2005261684-A1,existing,1
US-2005267481-A1,existing,1
US-2005267534-A1,existing,1
EP-1614525-A1,existing,1
US-2006009855-A1,existing,1
US-6987983-B2,existing,1
US-2006015108-A1,existing,1
US-2006015101-A1,existing,1
US-2006024357-A1,existing,1
US-2006026244-A1,existing,1
US-6997940-B2,existing,1
US-7001411-B1,existing,1
US-7004959-B2,existing,1
US-7008226-B2,existing,1
US-7013191-B2,existing,1
US-2006064095-A1,existing,1
US-7018380-B2,existing,1
US-7033379-B2,existing,1
US-2006089646-A1,existing,1
US-7048755-B2,existing,1
US-2006122600-A1,existing,1
US-2006122704-A1,existing,1
US-7066960-B1,existing,1
US-2006142657-A1,existing,1
US-2006142799-A1,existing,1
US-2006161136-A1,existing,1
US-2006161051-A1,existing,1
US-2006167495-A1,existing,1
US-7087073-B2,existing,1
US-7090111-B2,existing,1
US-7090683-B2,existing,1
US-7094251-B2,existing,1
US-2006200199-A1,existing,1
US-7104996-B2,existing,1
US-2006212073-A1,existing,1
US-2006207978-A1,existing,1
US-2006217765-A1,existing,1
US-2006229623-A1,existing,1
US-2006235470-A1,existing,1
US-2006241695-A1,existing,1
US-7128763-B1,existing,1
US-2006258938-A1,existing,1
US-2006265011-A1,existing,1
US-2006265009-A1,existing,1
US-2006271056-A1,existing,1
US-7147652-B2,existing,1
US-7153312-B1,existing,1
US-7160405-B2,existing,1
US-2007032825-A1,existing,1
US-7179259-B1,existing,1
US-7192448-B2,existing,1
US-2007088340-A1,existing,1
US-2007088362-A1,existing,1
US-7209776-B2,existing,1
US-2007100258-A1,existing,1
US-7217290-B2,existing,1
US-7217279-B2,existing,1
US-2007118129-A1,existing,1
US-2007118055-A1,existing,1
US-7241297-B2,existing,1
US-2007173946-A1,existing,1
US-7250051-B2,existing,1
US-7252685-B2,existing,1
US-2007185498-A2,existing,1
WO-2007092869-A2,existing,1
CA-2641580-A1,existing,1
US-2007198555-A1,existing,1
US-2007219561-A1,existing,1
US-7273497-B2,existing,1
US-2007239153-A1,existing,1
US-2007265561-A1,existing,1
US-7297142-B2,existing,1
US-2007270833-A1,existing,1
US-2007287889-A1,existing,1
US-2008021474-A1,existing,1
US-7329263-B2,existing,1
US-2008039845-A1,existing,1
US-2008039873-A1,existing,1
US-7331932-B2,existing,1
CA-2660827-A1,existing,1
US-2008046090-A1,existing,1
US-7335205-B2,existing,1
US-2008097448-A1,existing,1
US-2008108916-A1,existing,1
